episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var,info/learner/policy_1/cur_lr,info/learner/policy_1/policy_loss,info/learner/policy_1/policy_entropy,info/learner/policy_1/var_gnorm,info/learner/policy_1/vf_loss,info/learner/policy_1/grad_gnorm,info/learner/policy_1/vf_explained_var,info/learner/policy_2/cur_lr,info/learner/policy_2/policy_loss,info/learner/policy_2/policy_entropy,info/learner/policy_2/var_gnorm,info/learner/policy_2/vf_loss,info/learner/policy_2/grad_gnorm,info/learner/policy_2/vf_explained_var,info/learner/policy_3/cur_lr,info/learner/policy_3/policy_loss,info/learner/policy_3/policy_entropy,info/learner/policy_3/var_gnorm,info/learner/policy_3/vf_loss,info/learner/policy_3/grad_gnorm,info/learner/policy_3/vf_explained_var,info/learner/policy_4/cur_lr,info/learner/policy_4/policy_loss,info/learner/policy_4/policy_entropy,info/learner/policy_4/var_gnorm,info/learner/policy_4/vf_loss,info/learner/policy_4/grad_gnorm,info/learner/policy_4/vf_explained_var
43.69082002397902,-25.7903991229896,-10.191708499357482,501.0,64,14080,False,142080,256,11,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-17-29,1589804249,10.46249270439148,117.65370416641235,62138,prophet,129.2.189.146,117.65370416641235,142080,11,8,3e0cf570,0,142080,142080,915.617,18.642,12.561,68660.418,1397.964,1280.0,25.81333333333333,45.82666666666667,0.00069552002241835,-103.59248,28652.621,25.929106,21.946785,40.000004,0.014069974,0.00069552002241835,242.72792,46429.65,25.861485,25.552608,39.999996,0.009313405,0.00069552002241835,4698.6562,78349.44,26.02593,12.986387,40.0,0.0033497214,0.00069552002241835,5277.899,86719.76,25.899294,20.238644,39.999996,0.0034228563,0.00069552002241835,2558.619,79092.26,25.673307,34.64715,40.0,0.012678087
43.69082002397902,-25.7903991229896,-10.191708499357476,501.0,0,14080,False,156160,256,12,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-17-39,1589804259,10.327899932861328,127.98160409927368,62138,prophet,129.2.189.146,127.98160409927368,156160,12,8,3e0cf570,0,156160,156160,904.729,18.574,12.358,68912.564,1414.788,1280.0,26.119999999999997,45.926666666666655,0.0006950271781533957,-1278.7002,33990.285,26.06035,36.725628,39.999996,0.013560176,0.0006950271781533957,-1389.1935,57270.453,26.024899,32.672913,40.0,0.007635653,0.0006950271781533957,563.95465,90211.64,26.144587,7.978099,40.000004,-0.0022989511,0.0006950271781533957,-3427.4,102379.05,26.028646,22.896784,40.0,0.007350266,0.0006950271781533957,-5484.4243,92433.61,25.766706,43.860516,40.000004,0.00401783
25.15950000632816,-25.7903991229896,-9.897780692341918,501.0,64,14080,False,170240,320,13,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-17-49,1589804269,10.270824432373047,138.25242853164673,62138,prophet,129.2.189.146,138.25242853164673,170240,13,8,3e0cf570,0,170240,170240,902.835,17.819,12.137,71833.343,1417.757,1280.0,26.146666666666665,46.02666666666667,0.0006945343920961022,5280.836,38231.76,26.162039,668.55707,40.0,0.003059566,0.0006945343920961022,-573.1589,70410.89,26.217402,37.10012,40.0,0.007871568,0.0006945343920961022,-54.79329,108709.06,26.321142,192.25096,39.999996,0.0031888485,0.0006945343920961022,15625.444,117350.59,26.154064,539.4169,40.0,2.938509e-05,0.0006945343920961022,8722.764,113807.19,25.901817,13.325529,40.0,0.0023851395
25.15950000632816,-25.7903991229896,-9.897780692341922,501.0,0,14080,False,184320,320,14,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-00,1589804280,10.478610515594482,148.7310390472412,62138,prophet,129.2.189.146,148.7310390472412,184320,14,8,3e0cf570,0,184320,184320,918.565,18.631,12.33,68703.032,1393.477,1280.0,25.919999999999998,46.12666666666668,0.0006940416060388088,426.47223,45114.28,26.32095,14.636202,39.999996,0.019248664,0.0006940416060388088,-1293.4222,82975.07,26.390606,19.921156,40.000004,0.009818375,0.0006940416060388088,-2550.8215,133786.94,26.551159,22.804462,39.999996,0.0034102798,0.0006940416060388088,-5636.494,137230.5,26.31411,18.104017,40.000004,0.007632017,0.0006940416060388088,-6733.205,138683.33,26.052114,22.924097,40.0,0.010900378
13.329500006328184,-26.750499993671806,-9.273199224912421,501.0,64,14080,False,198400,384,15,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-10,1589804290,10.415300369262695,159.1463394165039,62138,prophet,129.2.189.146,159.1463394165039,198400,15,8,3e0cf570,0,198400,198400,909.848,18.124,12.073,70624.276,1406.828,1280.0,25.893333333333334,46.21999999999999,0.0006935488199815154,-4202.669,55432.844,26.54306,53.857155,39.999996,0.008774102,0.0006935488199815154,-7042.6494,100954.62,26.626387,364.44092,40.0,0.00064480305,0.0006935488199815154,176.81161,165405.69,26.835073,15.465658,39.999996,0.002090931,0.0006935488199815154,18219.783,163978.64,26.51685,849.1276,39.999996,0.00085765123,0.0006935488199815154,30664.566,165383.64,26.204878,1081.4701,40.000004,-0.0005323887
13.329500006328184,-26.750499993671806,-9.273199224912423,501.0,0,14080,False,212480,384,16,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-21,1589804301,10.30467414855957,169.45101356506348,62138,prophet,129.2.189.146,169.45101356506348,212480,16,8,3e0cf570,0,212480,212480,902.256,17.834,12.295,71772.747,1418.665,1280.0,26.221428571428568,46.30714285714286,0.0006930559757165611,29.719849,63734.453,26.712088,17.99501,40.0,0.017147243,0.0006930559757165611,1010.73303,115413.87,26.817345,14.056377,39.999996,0.008618891,0.0006930559757165611,-8495.322,199764.94,27.121706,42.6112,39.999996,0.007841408,0.0006930559757165611,nan,nan,nan,nan,nan,-1.0,0.0006930559757165611,-6226.948,184381.47,26.318762,31.96208,40.000004,0.007974267
17.08160000346111,-26.750499993671806,-7.5083559955067765,501.0,64,14080,False,226560,448,17,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-31,1589804311,10.319408178329468,179.77042174339294,62138,prophet,129.2.189.146,179.77042174339294,226560,17,8,3e0cf570,0,226560,226560,907.214,18.251,12.223,70131.625,1410.914,1280.0,26.15333333333334,46.40666666666666,0.0006925631896592677,-4880.521,76426.875,26.959429,112.447624,40.0,0.0033422112,0.0006925631896592677,-16120.832,129109.45,26.990412,130.74548,40.0,0.0036589503,0.0006925631896592677,nan,nan,nan,nan,nan,-1.0,0.0006925631896592677,nan,nan,nan,nan,nan,-1.0,0.0006925631896592677,nan,nan,nan,nan,nan,-1.0
17.08160000346111,-26.750499993671806,-7.508355995506776,501.0,0,14080,False,240640,448,18,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-41,1589804321,10.477853536605835,190.24827527999878,62138,prophet,129.2.189.146,190.24827527999878,240640,18,8,3e0cf570,0,240640,240640,898.026,20.237,12.513,63250.43,1425.348,1280.0,25.673333333333336,46.50666666666667,0.0006920704036019742,4848.86,89961.65,27.21856,5.2228923,40.0,0.001406908,0.0006920704036019742,6031.665,144012.5,27.172445,13.461314,40.0,0.0077905655,0.0006920704036019742,nan,nan,nan,nan,nan,-1.0,0.0006920704036019742,nan,nan,nan,nan,nan,-1.0,0.0006920704036019742,nan,nan,nan,nan,nan,-1.0
17.08160000346111,-26.750499993671806,-7.508355995506776,501.0,0,14080,False,254720,448,19,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-18-52,1589804332,10.388396501541138,200.63667178153992,62138,prophet,129.2.189.146,200.63667178153992,254720,19,8,3e0cf570,0,254720,254720,912.11,19.654,13.877,65126.416,1403.339,1280.0,26.093333333333337,46.613333333333344,0.0006915776175446808,-6555.0723,107254.41,27.521124,43.499237,40.000004,0.015443265,0.0006915776175446808,1383.8923,162479.92,27.381817,19.319836,40.0,0.00562948,0.0006915776175446808,nan,nan,nan,nan,nan,-1.0,0.0006915776175446808,nan,nan,nan,nan,nan,-1.0,0.0006915776175446808,nan,nan,nan,nan,nan,-1.0
34.409800000000025,-19.988399996538927,-4.5757519987539785,501.0,64,14080,False,268800,512,20,99056db3b7eb43c6bcf4dc731d97de89,2020-05-18_08-19-02,1589804342,10.305473327636719,210.94214510917664,62138,prophet,129.2.189.146,210.94214510917664,268800,20,8,3e0cf570,0,268800,268800,904.87,18.905,12.732,67705.519,1414.567,1280.0,25.94,46.71333333333334,0.0006910847732797265,2241.7964,125136.336,27.828278,29.19687,39.999996,0.008621752,0.0006910847732797265,19884.473,188026.06,27.65328,442.40604,40.0,0.0005182624,0.0006910847732797265,nan,nan,nan,nan,nan,-1.0,0.0006910847732797265,nan,nan,nan,nan,nan,-1.0,0.0006910847732797265,nan,nan,nan,nan,nan,-1.0
