episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/policy_reward_min/policy_0,evaluation/policy_reward_min/policy_1,evaluation/policy_reward_min/policy_2,evaluation/policy_reward_max/policy_0,evaluation/policy_reward_max/policy_1,evaluation/policy_reward_max/policy_2,evaluation/policy_reward_mean/policy_0,evaluation/policy_reward_mean/policy_1,evaluation/policy_reward_mean/policy_2,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
nan,nan,nan,nan,0,1280,False,1280,0,1,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-16,1589769916,1.9568679332733154,1.9568679332733154,6815,gammaumd5,129.2.189.147,1.9568679332733154,1280,1,8,6fe0ebb0,0,1.0,1.0,1,0,1280,1821.694,nan,nan,103.556,0.0,nan,37.03333333333333,70.3,0.0,0.0,0.03,0.09746800980125238,-97.69414944550954,-99.08030621311627,-98.30021680487941,78.66666666666667,3,0.49524196788357955,1.0267800909156577,-100.60232827191552,1.3148830327360557,1.493037839885801,-100.22083041405617,0.8767640088788321,1.2438719555373392,-100.42085276929559,18.952160705754785,1.733888814478745,14.994356367323133
nan,nan,nan,nan,0,1280,False,2560,0,2,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-20,1589769920,3.5510363578796387,5.507904291152954,6815,gammaumd5,129.2.189.147,5.507904291152954,2560,2,8,6fe0ebb0,0,0.87456,0.87456,2,512,2560,1267.335,156.882,2588.744,81.432,197.779,512.0,25.82,70.92,0.0,0.0,0.018,0.09746800980125238,-97.23404372390361,-100.31708448077555,-98.77556410233959,84.0,2,0.5460118847743871,-101.43908809327212,0.5053988004413696,2.173659966637686,-99.91310249098267,0.5759917277221831,1.3598359257060366,-100.6760952921274,0.5406952640817764,18.896883931653253,1.9073239688215584,14.514991606789074
-90.42946423892863,-125.45665941550398,-103.1596809556616,63.05769230769231,52,2560,False,5120,52,3,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-22,1589769922,2.0069031715393066,7.514807462692261,6815,gammaumd5,129.2.189.147,7.514807462692261,5120,3,8,6fe0ebb0,0,0.74912,0.74912,4,1536,5120,1002.271,131.207,885.264,86.901,578.359,512.0,26.3,71.23333333333333,0.0,0.0,0.04,0.09746800980125238,-92.99297864735128,-100.38284560781905,-97.2404590766722,75.33333333333333,3,0.7796779197330252,0.4593157027071939,-101.62183923025927,2.4569965776366445,3.39283260920395,-98.84280783419187,1.457441542504559,1.6177460487362794,-100.31564666791303,19.283665213615272,1.6582528497003446,11.848914395472045
-85.8488383786753,-124.62893898994662,-104.23644254710719,71.16666666666667,24,2560,False,7680,76,4,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-26,1589769926,1.9244725704193115,9.439280033111572,6815,gammaumd5,129.2.189.147,9.439280033111572,7680,4,8,6fe0ebb0,0,0.49824,0.49824,6,2560,7680,903.029,119.137,546.163,89.922,937.45,512.0,25.259999999999998,71.48,0.0,0.0,0.046,0.09746800980125238,-87.75348360324278,-90.39565161243084,-89.07456760783681,84.5,2,3.62176387601842,3.356645297336698,-97.37406078578596,4.597132902825251,4.398854088038206,-96.74947059410624,4.109448389421836,3.877749692687452,-97.0617656899461,19.20809228736234,1.7360506287540298,11.572201567960073
-89.69278679601848,-226.5701534280088,-107.10040014666698,66.41379310344827,29,1280,False,8960,105,5,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-28,1589769928,1.0217576026916504,10.461037635803223,6815,gammaumd5,129.2.189.147,10.461037635803223,8960,5,8,6fe0ebb0,0,0.24736000000000002,0.24736000000000002,7,3072,8960,878.147,125.071,460.093,88.465,1112.818,512.0,30.400000000000002,71.8,0.0,0.0,0.025,0.09746800980125238,-86.93615484260955,-95.53700893768111,-91.23658189014533,88.0,2,2.038227700007454,1.2047208981433215,-98.77995753583188,4.9963703403094115,4.900049170323953,-96.83257435324292,3.5172990201584327,3.0523850342336374,-97.8062659445374,19.402512284212335,1.8393549808236056,11.653413606244465
-93.11834616400304,-117.38208940369077,-103.67698600797614,69.92857142857143,28,2560,False,11520,133,6,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-30,1589769930,1.935882329940796,12.396919965744019,6815,gammaumd5,129.2.189.147,12.396919965744019,11520,6,8,6fe0ebb0,0,0.12192000000000003,0.12192000000000003,9,4096,11520,842.685,121.419,354.256,86.447,1445.281,512.0,30.3,71.83333333333333,0.0,0.0,0.036666666666666674,0.09746800980125238,-86.49735082080589,-87.94746218109503,-87.22240650095046,89.0,2,4.860687627534688,-97.03462379123084,3.888458925532177,5.1987026846036315,-96.08412755389388,4.726089105553299,5.02969515606916,-96.55937567256237,4.307274015542738,19.05277333361037,1.6768810596871884,11.017154125457115
0.6384176393039525,-206.99944221088663,-105.6721331059201,71.94285714285714,35,2560,False,14080,168,7,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-34,1589769934,1.966378927230835,14.363298892974854,6815,gammaumd5,129.2.189.147,14.363298892974854,14080,7,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,11,5120,14080,718.23,120.389,291.206,86.625,1758.207,512.0,24.619999999999997,72.0,0.0,0.0,0.038,0.09746800980125238,-83.7008898376953,-196.7833510246128,-140.24212043115406,88.0,2,1.6362889811086134,-98.87878003398268,-99.54085997173874,6.238640653978408,-95.7979140499762,5.858383558302492,3.9374648175435105,-97.33834704197943,-46.841238206718124,19.155618094613033,1.8118605201627,11.064743308864013
-84.03244260814972,-118.23107228381559,-101.83583384392217,69.42857142857143,28,2560,False,16640,196,8,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-37,1589769937,1.867905855178833,16.231204748153687,6815,gammaumd5,129.2.189.147,16.231204748153687,16640,8,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,13,6144,16640,715.364,111.756,36.285,88.512,14110.47,512.0,32.93333333333334,72.3,0.0,0.0,0.036666666666666674,0.09746800980125238,-94.55551817710514,-97.08789131417873,-95.82170474564194,100.0,2,1.5418479461998942,-100.18027421917458,1.55053495879595,2.4384668510562406,-99.42005381973772,2.4260687915763484,1.9901573986280674,-99.80016401945615,1.9883018751861492,19.170194534358064,1.994309830049747,10.76925900589496
5.152772524626911,-214.4968486069702,-105.87004898672846,76.80952380952381,42,2560,False,19200,238,9,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-40,1589769940,1.8828880786895752,18.11409282684326,6815,gammaumd5,129.2.189.147,18.11409282684326,19200,9,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,15,7168,19200,704.668,114.689,35.828,83.008,14290.644,512.0,30.05,72.6,0.0,0.0,0.0325,0.09746800980125238,-90.24873128929173,-100.30463371647059,-95.27668250288116,111.0,2,-97.27161512500606,-101.54245405279411,0.47294979977110785,0.7648705365524293,3.148139067692682,3.8747447680216283,-48.25337229422682,-49.197157492550716,2.173847283896368,19.1505534548155,2.0235936406632544,10.795121461572782
-19.413637364050388,-205.12881582393314,-104.77342176553793,78.27777777777777,18,1280,False,20480,256,10,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_02-45-41,1589769941,1.0447955131530762,19.158888339996338,6815,gammaumd5,129.2.189.147,19.158888339996338,20480,10,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,16,7680,20480,713.671,115.822,36.077,83.204,14192.027,512.0,24.6,72.7,0.0,0.0,0.04,0.09746800980125238,-92.08902783156373,-101.3602372694295,-96.72463255049661,117.5,2,0.8267198136697189,-97.66185576848997,-103.15808657494685,3.830180394618459,0.971129491847627,1.7426475423077719,2.328450104144089,-48.345363138321176,-50.70771951631954,19.22545337948704,1.88598266014686,10.490560803318296
