episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
-91.17299098754303,-217.5600388518069,-105.53382495306074,63.8,65,6400,False,6400,65,1,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-36-49,1580787409,7.78685450553894,7.78685450553894,18198,gammaumd5,10.70.51.83,7.78685450553894,6400,1,8,88c48352,0,-113.38690615530747,4.155339963423707,-35.177941651020255,18.577273420405046,3.929459549322077,3.0899194933854255,19000,6400,3467.958,107.366,3621.161,484.166,61.43636363636363,71.11818181818181,0.0,0.013525780682643427,0.07818181818181819,0.06723923141020882,0.5,4.999999873689376e-05,27.762568,0.004678675,27.81013,0.11337091,0.008357537,5.642033,0.009999999776482582
-86.40979817230256,-200.05471094907261,-106.81159836234758,62.42,100,6400,False,12800,165,2,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-36-55,1580787415,5.7366344928741455,13.523488998413086,18198,gammaumd5,10.70.51.83,13.523488998413086,12800,2,8,88c48352,0,-118.16975338555251,5.252902678602062,-35.60386612078253,18.411974883198145,4.235107115845183,2.459728990621235,38000,12800,3014.395,62.88,3372.414,245.528,62.52857142857142,71.3,0.0,0.013525780682643427,0.11285714285714286,0.06842726200199656,0.5,4.999999873689376e-05,26.770954,-0.0010002535,26.82493,0.29779166,0.0074224286,5.668933,0.009999999776482582
-88.37540909019299,-216.19309523631816,-107.9484883307456,65.81,90,6400,False,19200,255,3,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-01,1580787421,5.844692945480347,19.368181943893433,18198,gammaumd5,10.70.51.83,19.368181943893433,19200,3,8,88c48352,0,-108.26631847543953,5.174267059036836,-35.98282944358187,18.46409466827754,4.229088259366712,2.28128210650726,57000,19200,2868.844,50.364,3313.241,166.642,61.4,71.3625,0.00125,0.013525780682643427,0.12375,0.06842726200199656,0.5,4.999999873689376e-05,25.149591,-0.001057543,25.20492,0.39644286,0.005187214,5.685805,0.009999999776482582
-86.58323191432284,-213.49181921896525,-107.36479747514241,64.54,72,6400,False,25600,327,4,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-07,1580787427,5.761510610580444,25.129692554473877,18198,gammaumd5,10.70.51.83,25.129692554473877,25600,4,8,88c48352,0,-114.85621886638305,5.234479144060359,-35.78826582504747,18.510569312114388,4.232154559984815,2.167924157621123,76000,25600,2803.835,41.767,3258.731,126.569,62.48571428571429,71.39999999999999,0.0,0.013525780682643427,0.12142857142857144,0.06842726200199656,0.5,4.999999873689376e-05,24.674187,-0.0010892992,24.730059,0.40918565,0.003961114,5.6763754,0.009999999776482582
-86.58323191432284,-213.3733671421651,-104.74037275411887,66.98,78,6400,False,32000,405,5,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-13,1580787433,5.796973705291748,30.926666259765625,18198,gammaumd5,10.70.51.83,30.926666259765625,32000,5,8,88c48352,0,-114.85621886638305,5.234479144060359,-34.91345758470629,18.604054243545463,4.234657004724737,2.0975367382585834,95000,32000,2766.247,38.03,3229.981,103.505,61.5625,71.4,0.0,0.013525780682643427,0.11625,0.06842726200199656,0.25,4.999999873689376e-05,24.664736,-0.001962941,24.722658,0.4566921,0.0040204306,5.6961026,0.009999999776482582
-1.9350684694945954,-213.3733671421651,-105.65928818803047,71.18,58,6400,False,38400,463,6,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-19,1580787439,5.963287115097046,36.88995337486267,18198,gammaumd5,10.70.51.83,36.88995337486267,38400,6,8,88c48352,0,-109.6970530396017,4.769988292362541,-35.21976272934349,18.637271021537323,4.228129605112329,2.0567495688193715,114000,38400,2739.335,39.511,3237.431,87.828,59.224999999999994,71.4,0.0,0.013525780682643427,0.10500000000000001,0.06842726200199656,0.125,4.999999873689376e-05,21.331297,-0.0016542922,21.389551,0.5309855,0.0037143987,5.7066617,0.009999999776482582
-14.664370555896319,-192.4663743930869,-98.8610547264642,95.09,77,6400,False,44800,540,7,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-24,1580787444,5.788456678390503,42.678410053253174,18198,gammaumd5,10.70.51.83,42.678410053253174,44800,7,8,88c48352,0,-111.87294988761036,4.929961409963042,-32.9536849088214,18.717490485717178,4.215143867886559,2.015012868279472,133000,44800,2718.316,35.838,3222.745,77.491,62.74285714285714,71.39999999999999,0.0,0.013525780682643427,0.12428571428571426,0.06842726200199656,0.0625,4.999999873689376e-05,21.195995,-0.0007481075,21.253868,0.5425356,0.0034048564,5.7338314,0.009999999776482582
1.2813626192509986,-127.09977596485987,-93.73166391147534,111.72,65,6400,False,51200,605,8,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-30,1580787450,5.8322532176971436,48.51066327095032,18198,gammaumd5,10.70.51.83,48.51066327095032,51200,8,8,88c48352,0,-111.87294988761036,5.245619276305661,-31.243887970491777,18.750137340211037,4.205240304010963,1.9905760198471856,152000,51200,2712.719,33.671,3207.829,68.792,61.62500000000001,71.4,0.0,0.013525780682643427,0.1225,0.06842726200199656,0.03125,4.999999873689376e-05,19.889736,-0.0014726089,19.948406,0.5607448,0.0037065046,5.73145,0.009999999776482582
0.378863428486504,-208.97530099283904,-100.54994049662724,80.95,78,6400,False,57600,683,9,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-36,1580787456,5.773250579833984,54.2839138507843,18198,gammaumd5,10.70.51.83,54.2839138507843,57600,9,8,88c48352,0,-108.91681643319316,5.35199287137948,-33.516646832209084,18.76458045051294,4.205102617251794,1.9723519571525188,171000,57600,2693.873,31.707,3203.213,62.418,61.4375,71.4375,0.0,0.013525780682643427,0.11875000000000001,0.06842726200199656,0.015625,4.999999873689376e-05,18.178919,-0.0015835398,18.23821,0.5932628,0.0036184858,5.776586,0.009999999776482582
0.378863428486504,-222.53999608987942,-96.45987236091867,94.24,74,6400,False,64000,757,10,f67cae13e5bc41d48a185a265ed4d205,2020-02-03_22-37-42,1580787462,5.746598720550537,60.03051257133484,18198,gammaumd5,10.70.51.83,60.03051257133484,64000,10,8,88c48352,0,-108.51513881259598,7.576339381669335,-32.15329078697289,18.77983069628989,4.209155649250535,1.9593919660723993,190000,64000,2684.374,30.401,3191.118,56.88,62.44285714285714,71.5,0.0,0.013525780682643427,0.10857142857142857,0.06842726200199656,0.0078125,4.999999873689376e-05,19.793549,-0.0015630685,19.853027,0.60432833,0.0037063675,5.7945285,0.009999999776482582
