episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_min/policy_1,policy_reward_min/policy_2,policy_reward_max/policy_0,policy_reward_max/policy_1,policy_reward_max/policy_2,policy_reward_mean/policy_0,policy_reward_mean/policy_1,policy_reward_mean/policy_2,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_1/cur_kl_coeff,info/learner/policy_1/cur_lr,info/learner/policy_1/total_loss,info/learner/policy_1/policy_loss,info/learner/policy_1/vf_loss,info/learner/policy_1/vf_explained_var,info/learner/policy_1/kl,info/learner/policy_1/entropy,info/learner/policy_1/entropy_coeff,info/learner/policy_2/cur_kl_coeff,info/learner/policy_2/cur_lr,info/learner/policy_2/total_loss,info/learner/policy_2/policy_loss,info/learner/policy_2/vf_loss,info/learner/policy_2/vf_explained_var,info/learner/policy_2/kl,info/learner/policy_2/entropy,info/learner/policy_2/entropy_coeff
-82.9946075913031,-132.88972752820706,-104.66770240316328,60.515625,64,6400,False,6400,64,1,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-21,1589738541,12.947476625442505,12.947476625442505,3228,gammaumd5,129.2.189.147,12.947476625442505,6400,1,8,760730ec,0,-113.92317364403668,-105.64645361000052,-106.98012109457825,6.053339621362582,6.02004708264333,3.0726221777343454,-27.98953407287506,-37.329109007094914,-39.349059323193316,17.819468632783042,3.9240487731329283,4.113512906697716,6000,6400,3071.065,548.155,5238.652,3596.086,23.8,48.56666666666666,0.0,0.0,0.09000000000000001,0.07084732431860122,0.5,4.999999873689376e-05,29.69264,0.0076960656,29.735102,0.030690828,0.008042655,5.417689,0.009999999776482582,0.5,4.999999873689376e-05,33.331593,0.0076495614,33.372936,0.053927753,0.013013643,5.549837,0.009999999776482582,0.5,4.999999873689376e-05,31.864431,0.007134141,31.907356,0.034646172,0.010904561,5.551064,0.009999999776482582
-90.93051345949061,-221.45021940465085,-105.73386728942161,64.83,96,6400,False,12800,160,2,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-27,1589738547,6.393146276473999,19.340622901916504,3228,gammaumd5,129.2.189.147,19.340622901916504,12800,2,8,760730ec,0,-108.82210127015908,-107.87690457267067,-113.98371956551757,4.372063765147075,4.211088768982634,5.038559509674087,-34.561368623800426,-34.473239426948915,-36.69925923867229,17.93982244643031,4.166590165084267,3.300910488231259,12000,12800,2858.73,285.1,4447.205,1813.332,31.812500000000004,48.9,0.0,0.0,0.23625000000000002,0.07423541156184772,0.5,4.999999873689376e-05,31.756887,0.002782469,31.805593,0.09521139,0.005725347,5.435335,0.009999999776482582,0.5,4.999999873689376e-05,33.22906,0.0005287677,33.281223,0.09546987,0.005161803,5.5269456,0.009999999776482582,0.5,4.999999873689376e-05,30.920431,-0.0017789662,30.973816,0.13623074,0.0077146697,5.546158,0.009999999776482582
-88.97158229653724,-126.76630586059764,-104.59136350585148,66.5,89,6400,False,19200,249,3,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-34,1589738554,6.2586047649383545,25.59922766685486,3228,gammaumd5,129.2.189.147,25.59922766685486,19200,3,8,760730ec,0,-110.74164237788258,-107.21702064224519,-113.98371956551757,5.37360733452563,4.21203163747365,4.56179927747386,-36.28791786411932,-36.5860633323264,-31.717382309405753,17.687040999480274,4.156108885149832,2.994276341267912,18000,19200,2761.228,195.38,4169.908,1215.495,31.225,48.9625,0.0,0.0,0.27125,0.07423541156184772,0.5,4.999999873689376e-05,31.645178,-0.0015047044,31.698044,0.19694792,0.006328637,5.4526105,0.009999999776482582,0.5,4.999999873689376e-05,30.736137,-0.0053280354,30.794737,0.15395226,0.0042512356,5.5394607,0.009999999776482582,0.5,4.999999873689376e-05,33.2498,-0.0031258345,33.305546,0.21526985,0.005663336,5.544972,0.009999999776482582
-81.587494189851,-206.3000201144605,-107.04309555969142,63.53,79,6400,False,25600,328,4,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-40,1589738560,6.3762311935424805,31.97545886039734,3228,gammaumd5,129.2.189.147,31.97545886039734,25600,4,8,760730ec,0,-110.74164237788258,-106.7286933408274,-106.30783823714592,5.392832042882219,7.696078516853348,5.417531187956527,-38.21215227475255,-34.31207865761749,-34.51886462732141,17.648102297273155,4.0779927317106015,2.866676327204475,24000,25600,2728.864,152.095,4041.857,917.892,31.35,49.0,0.0,0.0,0.2525,0.07423541156184772,0.5,4.999999873689376e-05,27.780092,-0.0044289003,27.83692,0.22364406,0.003825906,5.4310393,0.009999999776482582,0.25,4.999999873689376e-05,25.85939,-0.007406479,25.921494,0.32683167,0.0042251586,5.575251,0.009999999776482582,0.5,4.999999873689376e-05,26.94419,-0.0063405423,27.003458,0.31151807,0.0050601084,5.5458903,0.009999999776482582
-81.587494189851,-330.819638621062,-108.29199592774268,67.94,73,6400,False,32000,401,5,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-47,1589738567,6.287227153778076,38.262686014175415,3228,gammaumd5,129.2.189.147,38.262686014175415,32000,5,8,760730ec,0,-109.86728118204822,-109.58007526638296,-111.37228217263085,4.760043841321021,7.696078516853348,5.417531187956527,-33.41353077450535,-37.25069693656173,-37.62776821667562,17.661831354632195,4.091157885319461,2.776193837290066,30000,32000,2705.474,125.389,3953.826,738.947,31.362499999999997,49.0,0.0,0.0,0.255,0.07423541156184772,0.25,4.999999873689376e-05,28.067932,-0.0028463777,28.12395,0.28055674,0.004432727,5.4276867,0.009999999776482582,0.125,4.999999873689376e-05,23.439178,-0.0070141032,23.501543,0.41408467,0.004702899,5.594007,0.009999999776482582,0.5,4.999999873689376e-05,27.572748,-0.005381854,27.632017,0.37026393,0.0041547907,5.596332,0.009999999776482582
1.5869195510167557,-330.819638621062,-107.91196819004603,79.57,63,6400,False,38400,464,6,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-53,1589738573,6.364647150039673,44.62733316421509,3228,gammaumd5,129.2.189.147,44.62733316421509,38400,6,8,760730ec,0,-109.86728118204822,-109.70224139885977,-111.37228217263085,4.760043841321021,3.500034247059375,5.138785676021747,-28.40759767991957,-41.59619620809797,-37.90817430202849,17.561985318595585,4.081562297977611,2.8158994922614937,36000,38400,2702.431,107.043,3895.597,619.424,30.011111111111113,49.0,0.0,0.0,0.30888888888888894,0.07423541156184772,0.125,4.999999873689376e-05,25.96472,-0.0048141647,26.023468,0.33570775,0.0031597195,5.4330044,0.009999999776482582,0.0625,4.999999873689376e-05,21.236734,-0.0038219595,21.296276,0.42445675,0.003908971,5.5965858,0.009999999776482582,0.25,4.999999873689376e-05,22.473747,-0.004709551,22.533297,0.3734223,0.0038995955,5.5819545,0.009999999776482582
-4.524448476498954,-221.84604311618023,-109.00931211934193,91.11,73,6400,False,44800,537,7,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-02-59,1589738579,6.103772163391113,50.7311053276062,3228,gammaumd5,129.2.189.147,50.7311053276062,44800,7,8,760730ec,0,-107.18736963284513,-110.00665390002541,-111.33765741134994,4.500687808186434,4.727709151494004,4.758759676634021,-26.255288864061395,-40.68254590167819,-42.07147735360235,17.518431820248836,4.001427274215247,2.7903303156641504,42000,44800,2682.488,94.231,3834.112,534.095,33.51428571428571,49.0,0.0,0.0,0.21857142857142858,0.07423541156184772,0.0625,4.999999873689376e-05,27.681662,-0.009196901,27.744814,0.34453157,0.0047524255,5.425897,0.009999999776482582,0.03125,4.999999873689376e-05,23.728296,-0.0048227212,23.78898,0.4140469,0.0032314986,5.596069,0.009999999776482582,0.125,4.999999873689376e-05,26.344088,-0.0028334598,26.40238,0.34691548,0.0033983702,5.588066,0.009999999776482582
1.04921208508312,-214.59165038610809,-102.0735045516165,92.66,74,6400,False,51200,611,8,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-03-05,1589738585,6.145114898681641,56.87622022628784,3228,gammaumd5,129.2.189.147,56.87622022628784,51200,8,8,760730ec,0,-108.60308813924591,-108.84999615830992,-108.46389586548321,3.13229535326051,3.2736477235642525,2.582504117706165,-35.91160808030594,-21.747834345671205,-44.41406212563937,17.47614426176704,3.9917256636755796,2.7396745208544053,48000,51200,2661.461,85.2,3799.947,469.808,31.375,49.0375,0.0,0.0,0.26,0.07423541156184772,0.03125,4.999999873689376e-05,24.120134,-0.0046400107,24.179049,0.4429367,0.004956455,5.44272,0.009999999776482582,0.015625,4.999999873689376e-05,21.171331,-0.004556725,21.232197,0.43731973,0.0031603717,5.6359744,0.009999999776482582,0.0625,4.999999873689376e-05,22.125124,-0.004919758,22.18595,0.41439024,0.004550858,5.618609,0.009999999776482582
1.04921208508312,-207.0924975774251,-101.03065286214478,85.83,62,6400,False,57600,673,9,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-03-11,1589738591,6.00032901763916,62.876549243927,3228,gammaumd5,129.2.189.147,62.876549243927,57600,9,8,760730ec,0,-108.60308813924591,-106.13291726106158,-108.46389586548321,4.574401092793167,4.747503832293049,2.582504117706165,-28.138602663656158,-27.158441179113535,-45.7336090193751,17.413872712892363,3.968263704028398,2.7273686996128528,54000,57600,2634.955,77.649,3766.214,420.079,30.887500000000003,49.1,0.0,0.0,0.26625,0.07423541156184772,0.015625,4.999999873689376e-05,23.572805,-0.008700471,23.635649,0.460049,0.00575525,5.4232903,0.009999999776482582,0.0078125,4.999999873689376e-05,21.727598,-0.010666474,21.794977,0.4851366,0.0037006724,5.674168,0.009999999776482582,0.03125,4.999999873689376e-05,24.480669,-0.0033001548,24.539858,0.37901175,0.0035342698,5.600228,0.009999999776482582
-2.376847224077217,-205.98337435349822,-99.63629599579494,95.98,69,6400,False,64000,742,10,52757036a7864b6b9ad1aae563efd341,2020-05-17_18-03-18,1589738598,6.122732400894165,68.99928164482117,3228,gammaumd5,129.2.189.147,68.99928164482117,64000,10,8,760730ec,0,-106.24663041927852,-110.29086486118226,-116.4357748485636,5.0228932948472576,5.418775124164917,5.1006542200533005,-22.06274794550186,-40.78969603317014,-36.78385201712294,17.36229157039154,3.9543646690500123,2.6842715737769174,60000,64000,2619.425,71.558,3745.811,380.143,31.012500000000003,49.1,0.0,0.0,0.25749999999999995,0.07423541156184772,0.015625,4.999999873689376e-05,24.379297,-0.0012277159,24.434433,0.4271171,0.0063479585,5.400309,0.009999999776482582,0.00390625,4.999999873689376e-05,22.716537,-0.004315842,22.7771,0.47527722,0.0039150906,5.6260066,0.009999999776482582,0.015625,4.999999873689376e-05,27.028887,-0.00548744,27.090155,0.3700926,0.0057543055,5.586971,0.009999999776482582
