episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1
-42.74698261357846,-402.30649274378084,-123.43066863820539,89.63,12,2560,False,29440,203,12,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-22,1580851222,1.2039697170257568,18.47153663635254,32407,gammaumd8,10.70.51.95,18.47153663635254,29440,12,8,17e16912,0,1.0,1.0,23,9728,29440,495.2,39.33,7.995,14.661,64036.321,512.0,22.15,27.1,0.0,0.010353283080555808,0.0,0.03475814502223432
-42.74698261357846,-404.2682636352256,-129.45164720563335,90.95,14,2560,False,32000,217,13,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-23,1580851223,1.1737430095672607,19.6452796459198,32407,gammaumd8,10.70.51.95,19.6452796459198,32000,13,8,17e16912,0,1.0,1.0,25,10752,32000,494.63,36.665,8.092,19.139,63273.501,512.0,16.7,27.2,0.0,0.010353283080555808,0.0,0.03475814502223432
6.4102621604688395,-404.2682636352256,-133.0319934719347,99.11,16,2560,False,34560,233,14,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-24,1580851224,1.1930170059204102,20.83829665184021,32407,gammaumd8,10.70.51.95,20.83829665184021,34560,14,8,17e16912,0,1.0,1.0,27,11776,34560,500.669,38.11,8.602,20.159,59524.346,512.0,22.55,27.2,0.0,0.010353283080555808,0.0,0.03475814502223432
6.4102621604688395,-409.25832487805746,-135.0870433523215,101.39,13,2560,False,37120,246,15,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-25,1580851225,1.18095064163208,22.01924729347229,32407,gammaumd8,10.70.51.95,22.01924729347229,37120,15,8,17e16912,0,1.0,1.0,29,12800,37120,502.792,40.064,9.147,20.15,55977.261,512.0,17.8,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
8.200196879683048,-409.25832487805746,-135.65485888431408,106.26,16,2560,False,39680,262,16,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-26,1580851226,1.1130244731903076,23.132271766662598,32407,gammaumd8,10.70.51.95,23.132271766662598,39680,16,8,17e16912,0,1.0,1.0,31,13824,39680,500.234,38.318,9.095,20.062,56296.578,512.0,21.55,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
17.8678839423228,-409.25832487805746,-84.784473123258,237.77,49,2560,False,42240,311,17,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-28,1580851228,1.243964433670044,24.37623620033264,32407,gammaumd8,10.70.51.95,24.37623620033264,42240,17,8,17e16912,0,1.0,1.0,33,14848,42240,504.367,38.744,8.687,19.95,58940.777,512.0,20.2,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
17.8678839423228,-409.25832487805746,-83.57099490247761,228.01,19,2560,False,44800,330,18,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-29,1580851229,1.156656265258789,25.53289246559143,32407,gammaumd8,10.70.51.95,25.53289246559143,44800,18,8,17e16912,0,1.0,1.0,35,15872,44800,507.614,38.44,8.322,15.202,61523.316,512.0,21.2,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
17.8678839423228,-402.9207938988693,-87.61613084669224,189.89,41,2560,False,47360,371,19,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-30,1580851230,1.260725736618042,26.793618202209473,32407,gammaumd8,10.70.51.95,26.793618202209473,47360,19,8,17e16912,0,1.0,1.0,37,16896,47360,516.254,37.304,8.406,14.321,60905.453,512.0,18.8,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
16.05141082336194,-506.766350491438,-129.1699522583396,116.98,29,2560,False,49920,400,20,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-31,1580851231,1.1452901363372803,27.938908338546753,32407,gammaumd8,10.70.51.95,27.938908338546753,49920,20,8,17e16912,0,1.0,1.0,39,17920,49920,512.432,34.335,8.507,17.785,60188.334,512.0,20.25,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
-92.97935101157056,-506.766350491438,-148.49218252898544,80.74,28,2560,False,52480,428,21,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-32,1580851232,1.2476718425750732,29.186580181121826,32407,gammaumd8,10.70.51.95,29.186580181121826,52480,21,8,17e16912,0,1.0,1.0,41,18944,52480,520.658,37.579,9.161,18.417,55891.305,512.0,19.65,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
-96.9599615391344,-506.766350491438,-145.40591877952568,81.76,34,2560,False,55040,462,22,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-34,1580851234,1.1412932872772217,30.327873468399048,32407,gammaumd8,10.70.51.95,30.327873468399048,55040,22,8,17e16912,0,1.0,1.0,43,19968,55040,510.439,36.994,9.4,18.547,54467.474,512.0,20.6,27.3,0.0,0.010353283080555808,0.0,0.03475814502223432
-94.40475264610723,-498.8681757692247,-139.3159499380493,84.31,31,2560,False,57600,493,23,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-35,1580851235,1.2340779304504395,31.561951398849487,32407,gammaumd8,10.70.51.95,31.561951398849487,57600,23,8,17e16912,0,1.0,1.0,45,20992,57600,510.08,42.664,9.556,19.738,53579.129,512.0,21.25,27.4,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.13311600126326,-407.54954616259784,-128.40928051378577,83.22,29,2560,False,60160,522,24,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-36,1580851236,1.2102832794189453,32.77223467826843,32407,gammaumd8,10.70.51.95,32.77223467826843,60160,24,8,17e16912,0,1.0,1.0,47,22016,60160,505.098,42.886,8.919,20.394,57406.762,512.0,17.8,27.4,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.13311600126326,-407.54954616259784,-130.92761849173112,82.25,30,2560,False,62720,552,25,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-37,1580851237,1.2253270149230957,33.99756169319153,32407,gammaumd8,10.70.51.95,33.99756169319153,62720,25,8,17e16912,0,1.0,1.0,49,23040,62720,517.322,42.384,8.647,16.83,59213.812,512.0,22.2,27.4,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.13311600126326,-407.54954616259784,-134.2060866443906,83.16,30,2560,False,65280,582,26,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-39,1580851239,1.175753116607666,35.173314809799194,32407,gammaumd8,10.70.51.95,35.173314809799194,65280,26,8,17e16912,0,1.0,1.0,51,24064,65280,511.193,42.485,7.874,16.394,65026.591,512.0,17.8,27.4,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.13311600126326,-405.78789993026294,-128.89420136997242,84.95,33,2560,False,67840,615,27,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-40,1580851240,1.1765382289886475,36.34985303878784,32407,gammaumd8,10.70.51.95,36.34985303878784,67840,27,8,17e16912,0,1.0,1.0,53,25088,67840,515.38,42.4,7.935,16.07,64528.142,512.0,21.45,27.45,0.0,0.010353283080555808,0.0,0.03475814502223432
-86.26119432365523,-400.6256551218685,-129.67564312825678,85.34,34,2560,False,70400,649,28,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-41,1580851241,1.1432793140411377,37.49313235282898,32407,gammaumd8,10.70.51.95,37.49313235282898,70400,28,8,17e16912,0,1.0,1.0,55,26112,70400,513.855,36.954,7.549,15.884,67827.411,512.0,21.1,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-86.662373800762,-306.0177325832192,-124.49829520162427,82.75,26,2560,False,72960,675,29,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-42,1580851242,1.2011194229125977,38.69425177574158,32407,gammaumd8,10.70.51.95,38.69425177574158,72960,29,8,17e16912,0,1.0,1.0,57,27136,72960,512.659,36.48,7.919,16.024,64654.615,512.0,20.85,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-86.662373800762,-405.45483292546123,-133.57216164590093,80.02,36,2560,False,75520,711,30,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-43,1580851243,1.173771619796753,39.86802339553833,32407,gammaumd8,10.70.51.95,39.86802339553833,75520,30,8,17e16912,0,1.0,1.0,59,28160,75520,507.909,36.144,7.811,15.887,65546.202,512.0,20.8,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-86.662373800762,-405.45483292546123,-137.28570968346438,80.85,24,2560,False,78080,735,31,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-45,1580851245,1.108780860900879,40.97680425643921,32407,gammaumd8,10.70.51.95,40.97680425643921,78080,31,8,17e16912,0,1.0,1.0,61,29184,78080,503.604,32.659,8.074,16.453,63414.007,512.0,19.65,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-95.49695535073988,-405.45483292546123,-138.83385290657404,85.28,34,2560,False,80640,769,32,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-46,1580851246,1.1486053466796875,42.1254096031189,32407,gammaumd8,10.70.51.95,42.1254096031189,80640,32,8,17e16912,0,1.0,1.0,63,30208,80640,499.135,33.211,8.126,17.106,63005.068,512.0,22.7,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-87.97036709170789,-502.8792531087529,-143.72779092401265,84.43,30,2560,False,83200,799,33,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-47,1580851247,1.1917765140533447,43.31718611717224,32407,gammaumd8,10.70.51.95,43.31718611717224,83200,33,8,17e16912,0,1.0,1.0,65,31232,83200,502.701,33.698,8.337,16.464,61414.054,512.0,19.5,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-87.97036709170789,-502.8792531087529,-139.80229325970956,84.14,35,2560,False,85760,834,34,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-48,1580851248,1.236804485321045,44.553990602493286,32407,gammaumd8,10.70.51.95,44.553990602493286,85760,34,8,17e16912,0,1.0,1.0,67,32256,85760,502.102,37.691,8.301,16.354,61681.473,512.0,20.65,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
-87.97036709170789,-502.8792531087529,-152.61643830458954,79.43,29,2560,False,88320,863,35,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-49,1580851249,1.1745357513427734,45.72852635383606,32407,gammaumd8,10.70.51.95,45.72852635383606,88320,35,8,17e16912,0,1.0,1.0,69,33280,88320,502.21,38.121,8.454,16.121,60563.809,512.0,18.6,27.5,0.0,0.010353283080555808,0.0,0.03475814502223432
