episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,info/sample_throughput,info/train_throughput,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/grad_gnorm
-89.15703529655002,-223.40559100941758,-111.22895650433527,56.877049180327866,366,19840,False,19840,366,1,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-24-45,1580855085,10.641458988189697,10.641458988189697,18640,gammaumd5,10.70.51.83,10.641458988189697,19840,1,8,1c041130,0,-112.69986208885287,4.405037282267585,-37.07631883477843,14.12168160921577,2.281197275871946,1.7365795705739835,19200,19840,125,0,1830.886,1771.825,30.2,24.442857142857143,0.0,0.013525780682643427,0.005714285714285714,0.030427962091452435,67.527,89.374,nan,nan,107.99,31,0.25806451612903225,0.7169713151900925,"[0.0, 0.0, 0.0, 1.0, 3.0]",0.0005000000237487257,-12.564078,22247.824,0.009999999776482582,20.619148,1.0492514,0.9993526,40.0
-87.52117434493266,-249.76948997681023,-113.72395233800638,59.1827731092437,476,35200,False,55040,842,2,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-24-55,1580855095,10.748954057693481,21.39041304588318,18640,gammaumd5,10.70.51.83,21.39041304588318,55040,2,8,1c041130,0,-121.6627369086879,6.579341315353908,-37.9079841126688,13.984379038821652,2.189767190286926,1.5717867203495466,54400,55040,344,0,3259.091,3259.091,31.457142857142856,25.828571428571422,0.0,0.013525780682643427,0.009999999999999998,0.03475814502223433,64.193,68.271,nan,nan,116.296,86,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004995039780624211,-2.5790212,195863.27,0.009999999776482582,21.644133,0.013366557,0.9999989,40.0
4.554876656504334,-366.1718736751936,-95.44498081850135,123.9121212121212,330,36480,False,91520,1172,3,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-25-06,1580855106,10.762208461761475,32.15262150764465,18640,gammaumd5,10.70.51.83,32.15262150764465,91520,3,8,1c041130,0,-127.77223630575463,8.659302295340844,-31.81499360616712,13.6828231571365,2.0921188970804954,1.527467200663826,91520,91520,573,0,3375.126,3434.339,31.52857142857143,25.942857142857143,0.0,0.013525780682643427,0.009285714285714284,0.03475814502223433,55.206,63.701,nan,nan,104.961,143,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004986239946447313,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-0.3951646247878742,-277.78976759081706,-90.22966619724711,114.02743902439025,328,37120,False,128640,1500,4,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-25-17,1580855117,10.68797779083252,42.84059929847717,18640,gammaumd5,10.70.51.83,42.84059929847717,128640,4,8,1c041130,0,-103.83072674126986,9.358929483452812,-30.076555399082373,13.503891751765378,2.0358110936291385,1.5140746025243137,128000,128640,804,0,3456.63,3397.034,31.78571428571429,26.092857142857145,0.0,0.013525780682643427,0.008571428571428568,0.03475814502223433,87.054,75.427,nan,nan,102.276,201,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004977119970135391,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-75.74818288604732,-277.72169446107,-91.4070810294674,112.09281437125749,334,36480,False,165120,1834,5,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-25-28,1580855128,10.729891538619995,53.57049083709717,18640,gammaumd5,10.70.51.83,53.57049083709717,165120,5,8,1c041130,0,-111.75140738037106,8.744386985820405,-30.469027009822476,13.419787532664579,2.009793924134464,1.5057547252608996,165120,165120,1034,0,3382.452,3441.794,31.307142857142857,26.22857142857143,0.0,0.013525780682643427,0.009285714285714284,0.03475814502223433,47.514,78.004,nan,nan,97.298,258,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004967839922755957,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-75.26641951967032,-216.28234720160253,-91.49830032921855,112.42414860681114,323,36480,False,201600,2157,6,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-25-38,1580855138,10.63198471069336,64.20247554779053,18640,gammaumd5,10.70.51.83,64.20247554779053,201600,6,8,1c041130,0,-107.48162029062708,8.980314554724217,-30.49943344307286,13.368378371117693,2.0366372426106776,1.5013609710576263,200960,201600,1261,0,3414.435,3354.533,31.592857142857145,26.349999999999994,0.0,0.013525780682643427,0.009285714285714284,0.03475814502223433,62.469,81.535,nan,nan,108.417,315,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004958719946444035,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-75.04252651054412,-287.356583442539,-92.14653274386225,112.21846153846154,325,36480,False,238080,2482,7,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-25-49,1580855149,10.592550277709961,74.79502582550049,18640,gammaumd5,10.70.51.83,74.79502582550049,238080,7,8,1c041130,0,-101.43876145624867,8.742687134227403,-30.71551091462075,13.329897534401868,2.0251255485225332,1.4973613423375123,238080,238080,1490,0,3425.149,3485.239,31.935714285714287,26.47142857142857,0.0,0.013525780682643427,0.009285714285714284,0.03475814502223433,72.758,65.965,nan,nan,114.063,372,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004949599970132113,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-75.77664340054618,-279.40854070847854,-89.08877751642433,112.54294478527608,326,37120,False,275200,2808,8,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-26-00,1580855160,10.691241025924683,85.48626685142517,18640,gammaumd5,10.70.51.83,85.48626685142517,275200,8,8,1c041130,0,-103.25985247533147,9.069011215120554,-29.696259172141442,13.286911798963008,2.0111362707003364,1.4937850055285504,274560,275200,1720,0,3460.487,3400.824,31.549999999999994,26.628571428571426,0.0,0.013525780682643427,0.009285714285714284,0.03475814502223433,69.423,73.498,nan,nan,98.927,430,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.000494047999382019,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-76.35319135617465,-280.2984433446545,-89.375289701289,112.94117647058823,323,37120,False,312320,3131,9,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-26-11,1580855171,10.635530233383179,96.12179708480835,18640,gammaumd5,10.70.51.83,96.12179708480835,312320,9,8,1c041130,0,-103.34363758587278,8.777360353851691,-29.79176323376301,13.25083674544865,1.9977126232306956,1.492287183782372,311680,312320,1952,0,3463.447,3463.448,32.169230769230765,26.74615384615385,0.0,0.013525780682643427,0.009999999999999998,0.03475814502223433,57.45,63.759,nan,nan,118.168,488,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004931199946440756,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
-76.19117951602678,-278.41359036555514,-95.88164133866754,112.62275449101796,334,36480,False,348800,3465,10,230fed994c8a4ebfa7c675b4c630911e,2020-02-04_17-26-21,1580855181,10.701169490814209,106.82296657562256,18640,gammaumd5,10.70.51.83,106.82296657562256,348800,10,8,1c041130,0,-102.67589598909643,8.821247177819409,-31.960547112889184,13.229581724039772,1.9919672840701805,1.4905869458083927,348800,348800,2182,0,3395.577,3455.149,31.75714285714286,26.899999999999995,0.0,0.013525780682643427,0.008571428571428568,0.03475814502223433,78.683,68.1,nan,nan,111.133,545,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004921919899061322,nan,nan,0.009999999776482582,nan,nan,-1.0,nan
