episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
54.15953887042646,-28.809565264421096,-9.116994338973406,501.0,0,12800,False,145920,256,11,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-29-14,1580858954,10.088743209838867,117.19478034973145,29241,gammaumd5,10.70.51.83,117.19478034973145,145920,11,8,deeb1dbc,0,145920,145920,986.561,11.415,9.088,112128.896,1297.436,1280.0,42.300000000000004,47.89999999999999,0.0,0.013525780682643427,0.04461538461538462,0.07133133678192215,0.0006953408010303974,779.7169,472124.16,26.218954,123.846436,40.0,0.31279814
54.15953887042646,-28.809565264421096,-9.116994338973406,501.0,0,14080,False,160000,256,12,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-29-26,1580858966,10.983250617980957,128.1780309677124,29241,gammaumd5,10.70.51.83,128.1780309677124,160000,12,8,deeb1dbc,0,160000,160000,980.505,12.276,8.543,104270.265,1305.449,1280.0,41.61428571428571,47.964285714285715,0.0,0.013525780682643427,0.05642857142857143,0.07133133678192215,0.0006948927766643465,-15301.003,594571.4,26.466452,125.495804,40.0,0.08219069
27.239500006328164,-30.930499993671813,-9.282193740304155,501.0,64,14080,False,174080,320,13,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-29-37,1580858977,10.981601238250732,139.15963220596313,29241,gammaumd5,10.70.51.83,139.15963220596313,174080,13,8,deeb1dbc,0,174080,174080,970.531,12.58,7.579,101748.7,1318.865,1280.0,40.98,48.0,0.0,0.013525780682643427,0.05599999999999999,0.07133133678192215,0.000694399990607053,nan,nan,nan,nan,nan,-1.0
27.239500006328164,-30.930499993671813,-9.282193740304155,501.0,0,14080,False,188160,320,14,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-29-47,1580858987,10.700814962387085,149.86044716835022,29241,gammaumd5,10.70.51.83,149.86044716835022,188160,14,8,deeb1dbc,0,188160,188160,954.073,12.646,10.653,101216.38,1341.617,1280.0,41.48571428571428,48.092857142857156,0.0,0.013525780682643427,0.05500000000000001,0.07133133678192215,0.0006939072045497596,nan,nan,nan,nan,nan,-1.0
31.242500000947295,-20.91049999367182,-4.600279997115572,501.0,64,14080,False,202240,384,15,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-29-58,1580858998,10.69258427619934,160.55303144454956,29241,gammaumd5,10.70.51.83,160.55303144454956,202240,15,8,deeb1dbc,0,202240,202240,955.235,11.926,8.834,107329.104,1339.984,1280.0,40.300000000000004,48.10000000000001,0.0,0.013525780682643427,0.05785714285714284,0.07133133678192215,0.0006934144184924662,nan,nan,nan,nan,nan,-1.0
31.242500000947295,-20.91049999367182,-4.600279997115572,501.0,0,14080,False,216320,384,16,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-30-09,1580859009,10.672949314117432,171.225980758667,29241,gammaumd5,10.70.51.83,171.225980758667,216320,16,8,deeb1dbc,0,216320,216320,941.668,15.234,9.008,84022.222,1359.29,1280.0,40.84285714285714,48.19285714285716,0.0,0.013525780682643427,0.05428571428571428,0.07133133678192215,0.0006929215742275119,nan,nan,nan,nan,nan,-1.0
31.242500000947295,-9.03749999905267,-1.038499999658962,501.0,64,14080,False,230400,448,17,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-30-20,1580859020,10.818769931793213,182.0447506904602,29241,gammaumd5,10.70.51.83,182.0447506904602,230400,17,8,deeb1dbc,0,230400,230400,943.666,13.365,9.907,95770.956,1356.411,1280.0,40.33571428571429,48.20000000000001,0.0,0.013525780682643427,0.05142857142857143,0.07133133678192215,0.0006924287881702185,nan,nan,nan,nan,nan,-1.0
31.242500000947295,-9.03749999905267,-1.0384999996589617,501.0,0,14080,False,244480,448,18,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-30-30,1580859030,10.763866424560547,192.80861711502075,29241,gammaumd5,10.70.51.83,192.80861711502075,244480,18,8,deeb1dbc,0,244480,244480,941.504,14.981,10.869,85440.564,1359.527,1280.0,41.74285714285715,48.29285714285713,0.0,0.013525780682643427,0.052142857142857144,0.07133133678192215,0.000691936002112925,nan,nan,nan,nan,nan,-1.0
18.53000000000005,-6.0,-0.6434000000000003,501.0,64,14080,False,258560,512,19,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-30-41,1580859041,10.874725341796875,203.68334245681763,29241,gammaumd5,10.70.51.83,203.68334245681763,258560,19,8,deeb1dbc,0,258560,258560,954.787,13.045,8.887,98119.547,1340.612,1280.0,41.535714285714285,48.29999999999999,0.0,0.013525780682643427,0.055714285714285716,0.07133133678192215,0.0006914432160556316,nan,nan,nan,nan,nan,-1.0
18.53000000000005,-6.0,-0.6434000000000002,501.0,0,14080,False,272640,512,20,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-30-52,1580859052,10.711550951004028,214.39489340782166,29241,gammaumd5,10.70.51.83,214.39489340782166,272640,20,8,deeb1dbc,0,272640,272640,953.505,12.722,8.965,100610.35,1342.416,1280.0,41.62857142857143,48.38571428571428,0.0,0.013525780682643427,0.05285714285714286,0.07133133678192215,0.0006909503717906773,nan,nan,nan,nan,nan,-1.0
