episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_1/cur_kl_coeff,info/learner/policy_1/cur_lr,info/learner/policy_1/total_loss,info/learner/policy_1/policy_loss,info/learner/policy_1/vf_loss,info/learner/policy_1/vf_explained_var,info/learner/policy_1/kl,info/learner/policy_1/entropy,info/learner/policy_1/entropy_coeff,info/learner/policy_2/cur_kl_coeff,info/learner/policy_2/cur_lr,info/learner/policy_2/total_loss,info/learner/policy_2/policy_loss,info/learner/policy_2/vf_loss,info/learner/policy_2/vf_explained_var,info/learner/policy_2/kl,info/learner/policy_2/entropy,info/learner/policy_2/entropy_coeff,info/learner/policy_3/cur_kl_coeff,info/learner/policy_3/cur_lr,info/learner/policy_3/total_loss,info/learner/policy_3/policy_loss,info/learner/policy_3/vf_loss,info/learner/policy_3/vf_explained_var,info/learner/policy_3/kl,info/learner/policy_3/entropy,info/learner/policy_3/entropy_coeff,info/learner/policy_4/cur_kl_coeff,info/learner/policy_4/cur_lr,info/learner/policy_4/total_loss,info/learner/policy_4/policy_loss,info/learner/policy_4/vf_loss,info/learner/policy_4/vf_explained_var,info/learner/policy_4/kl,info/learner/policy_4/entropy,info/learner/policy_4/entropy_coeff
37.13308245158189,-24.969369602556018,-5.730884367830604,501.0,64,6400,False,70400,128,11,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-41-51,1589733711,7.954098701477051,101.45684576034546,20740,prophet,129.2.189.146,101.45684576034546,70400,11,8,f7cf73d4,0,66000,70400,5210.632,44.772,2591.483,14.593,39.400000000000006,36.272727272727266,0.00048828125,4.999999873689376e-05,80.81181,0.0030627586,80.83811,-0.01672101,0.0021164087,2.9361048,0.009999999776482582,0.00048828125,4.999999873689376e-05,81.61558,0.0019630003,81.64333,0.023710817,0.0024366667,2.9710739,0.009999999776482582,0.00146484375,4.999999873689376e-05,87.08966,-0.00044984883,87.115425,0.01043053,0.0010136875,2.5325656,0.009999999776482582,0.00048828125,4.999999873689376e-05,85.226,0.0041072066,85.247696,0.017603809,0.0022541007,2.580027,0.009999999776482582,0.00146484375,4.999999873689376e-05,89.91628,0.002677381,89.943504,0.014981086,0.0035105376,2.9884853,0.009999999776482582
37.13308245158189,-24.969369602556018,-5.730884367830604,501.0,0,6400,False,76800,128,12,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-41-59,1589733719,7.831155776977539,109.288001537323,20740,prophet,129.2.189.146,109.288001537323,76800,12,8,f7cf73d4,0,72000,76800,5199.622,44.185,2593.065,14.544,39.20909090909092,36.27272727272727,0.000244140625,4.999999873689376e-05,8.55508,0.0017593777,8.582814,-0.49826872,0.0010492943,2.9493577,0.009999999776482582,0.000244140625,4.999999873689376e-05,5.5149045,0.0045880005,5.539412,-0.26861456,0.0015273192,2.9095678,0.009999999776482582,0.000732421875,4.999999873689376e-05,3.6188393,0.003746638,3.6408236,-0.17056756,0.0013978756,2.5731883,0.009999999776482582,0.000244140625,4.999999873689376e-05,3.402922,0.0025227806,3.426223,-0.12179575,0.0011347157,2.5824034,0.009999999776482582,0.000732421875,4.999999873689376e-05,2.4099581,-0.00035223304,2.4403079,-0.104479246,0.0009060507,2.9998186,0.009999999776482582
37.13308245158189,-24.969369602556018,-5.730884367830604,501.0,0,6400,False,83200,128,13,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-07,1589733727,7.846150636672974,117.13415217399597,20740,prophet,129.2.189.146,117.13415217399597,83200,13,8,f7cf73d4,0,78000,83200,5227.4,42.746,2583.893,14.438,37.583333333333336,36.37499999999999,0.0001220703125,4.999999873689376e-05,6.4123077,0.0058259354,6.435402,-0.18773933,0.0017240663,2.8920681,0.009999999776482582,0.0001220703125,4.999999873689376e-05,4.102592,-0.001141307,4.1330833,-0.37842622,0.0012792904,2.9350262,0.009999999776482582,0.0003662109375,4.999999873689376e-05,4.0502152,-0.002899577,4.078421,-0.10939682,0.0012198194,2.5306394,0.009999999776482582,0.0001220703125,4.999999873689376e-05,3.7316372,0.0040559187,3.753297,-0.04663311,0.0021640256,2.5716321,0.009999999776482582,0.0003662109375,4.999999873689376e-05,1.6235018,-0.0024579756,1.6559025,-0.1399014,0.0020412009,2.99434,0.009999999776482582
37.13308245158189,-24.969369602556018,-5.730884367830604,501.0,0,6400,False,89600,128,14,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-15,1589733735,7.582177400588989,124.71632957458496,20740,prophet,129.2.189.146,124.71632957458496,89600,14,8,f7cf73d4,0,84000,89600,5203.05,41.631,2559.02,14.541,38.88181818181818,36.36363636363636,6.103515625e-05,4.999999873689376e-05,6.8555646,-0.0032401334,6.887998,-0.52489465,0.0013854845,2.9192963,0.009999999776482582,6.103515625e-05,4.999999873689376e-05,4.9102335,0.0012305694,4.938254,-0.17223544,0.0012030253,2.9251509,0.009999999776482582,0.00018310546875,4.999999873689376e-05,4.8015532,0.001347458,4.8252883,-0.0033805321,0.0021110212,2.5082812,0.009999999776482582,6.103515625e-05,4.999999873689376e-05,2.576928,-0.0023639612,2.6053832,-0.14216973,0.001224538,2.609141,0.009999999776482582,0.00018310546875,4.999999873689376e-05,1.728496,-0.0037127903,1.7627716,-0.19534986,0.0017092234,3.0563247,0.009999999776482582
37.13308245158189,-24.969369602556018,-5.730884367830604,501.0,0,6400,False,96000,128,15,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-23,1589733743,8.087335348129272,132.80366492271423,20740,prophet,129.2.189.146,132.80366492271423,96000,15,8,f7cf73d4,0,90000,96000,5209.889,39.517,2576.638,14.697,39.40909090909091,36.37272727272727,3.0517578125e-05,4.999999873689376e-05,6.9890065,-0.0020120994,7.0201855,-0.10305136,0.0011180606,2.916728,0.009999999776482582,3.0517578125e-05,4.999999873689376e-05,3.7104986,-0.0016425387,3.7418997,-0.1204226,0.0017711091,2.9758768,0.009999999776482582,9.1552734375e-05,4.999999873689376e-05,8.194376,0.00052418845,8.218892,0.19179821,0.0014301928,2.5040643,0.009999999776482582,3.0517578125e-05,4.999999873689376e-05,1.7715601,0.004353994,1.7938503,-0.13128188,0.002291331,2.6644204,0.009999999776482582,9.1552734375e-05,4.999999873689376e-05,1.4807358,0.0038602229,1.5074269,-0.1721165,0.0011491207,3.05513,0.009999999776482582
34.16056103104328,-24.969369602556018,-5.8105029234236465,501.0,64,6400,False,102400,192,16,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-30,1589733750,7.619632005691528,140.42329692840576,20740,prophet,129.2.189.146,140.42329692840576,102400,16,8,f7cf73d4,0,96000,102400,5168.12,38.178,2596.843,14.933,39.309090909090905,36.37272727272727,1.52587890625e-05,4.999999873689376e-05,165.53703,0.0030365211,165.56337,0.011469573,0.0015877165,2.936303,0.009999999776482582,1.52587890625e-05,4.999999873689376e-05,174.98341,-0.0014852984,175.01445,0.014547795,0.001396059,2.9546652,0.009999999776482582,4.57763671875e-05,4.999999873689376e-05,170.98012,0.003982493,171.00151,0.026748354,0.0031326117,2.5373623,0.009999999776482582,1.52587890625e-05,4.999999873689376e-05,177.38655,0.00233762,177.4117,0.010412847,0.0020667694,2.7488277,0.009999999776482582,4.57763671875e-05,4.999999873689376e-05,176.31512,0.0069294325,176.33977,0.011396741,0.0013072304,3.1559374,0.009999999776482582
34.16056103104328,-24.969369602556018,-5.810502923423648,501.0,0,6400,False,108800,192,17,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-38,1589733758,7.9150121212005615,148.33830904960632,20740,prophet,129.2.189.146,148.33830904960632,108800,17,8,f7cf73d4,0,102000,108800,5149.243,37.468,2616.758,15.405,39.6,36.36363636363637,7.62939453125e-06,4.999999873689376e-05,6.1076713,0.00063487404,6.1364703,-0.17279561,0.0012589756,2.943351,0.009999999776482582,7.62939453125e-06,4.999999873689376e-05,4.7871256,-0.0014970452,4.8180695,-0.31914946,0.00097332016,2.944667,0.009999999776482582,2.288818359375e-05,4.999999873689376e-05,2.4851663,-6.309602e-05,2.510587,-0.473847,0.0019097807,2.5357697,0.009999999776482582,7.62939453125e-06,4.999999873689376e-05,3.1940072,0.0017309617,3.2193687,-0.19846793,0.0015978911,2.7092476,0.009999999776482582,2.288818359375e-05,4.999999873689376e-05,3.3195283,0.0040132706,3.3473814,-0.067288764,0.0020120412,3.1866398,0.009999999776482582
34.16056103104328,-24.969369602556018,-5.810502923423648,501.0,0,6400,False,115200,192,18,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-46,1589733766,7.736053466796875,156.0743625164032,20740,prophet,129.2.189.146,156.0743625164032,115200,18,8,f7cf73d4,0,108000,115200,5135.858,37.424,2618.945,15.562,38.77272727272728,36.409090909090914,3.814697265625e-06,4.999999873689376e-05,5.554388,0.0019014307,5.581548,0.0027303547,0.0020542399,2.9061644,0.009999999776482582,3.814697265625e-06,4.999999873689376e-05,2.9257028,0.0036811724,2.951809,-0.14360954,0.00076983677,2.9787304,0.009999999776482582,1.1444091796875e-05,4.999999873689376e-05,3.8316057,-0.005038064,3.8625224,-0.2319824,0.002593886,2.5878656,0.009999999776482582,3.814697265625e-06,4.999999873689376e-05,4.339554,0.0061451816,4.3601413,0.016097153,0.00085260643,2.6733053,0.009999999776482582,1.1444091796875e-05,4.999999873689376e-05,1.221906,-0.0005525158,1.2535225,-0.13324331,0.0016498552,3.1064007,0.009999999776482582
34.16056103104328,-24.969369602556018,-5.810502923423648,501.0,0,6400,False,121600,192,19,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-42-54,1589733774,7.5172741413116455,163.59163665771484,20740,prophet,129.2.189.146,163.59163665771484,121600,19,8,f7cf73d4,0,114000,121600,5113.123,36.758,2620.953,15.459,39.46363636363636,36.40909090909091,1.9073486328125e-06,4.999999873689376e-05,3.968838,0.0060911444,3.9926355,-0.040229727,0.0015827785,2.9888012,0.009999999776482582,1.9073486328125e-06,4.999999873689376e-05,6.421102,-0.002196569,6.452975,0.11705872,0.0019569774,2.9677305,0.009999999776482582,5.7220458984375e-06,4.999999873689376e-05,1.8447946,0.0003142814,1.8699247,-0.36024693,0.0016506402,2.5444593,0.009999999776482582,1.9073486328125e-06,4.999999873689376e-05,5.665625,-0.0017630216,5.6942706,0.17057593,0.001260858,2.688159,0.009999999776482582,5.7220458984375e-06,4.999999873689376e-05,1.1208946,-0.0018380765,1.1543297,-0.15009011,0.0012212559,3.1596978,0.009999999776482582
34.16056103104328,-24.969369602556018,-5.810502923423648,501.0,0,6400,False,128000,192,20,019a621d45ba4adc8e5218cd83313c3a,2020-05-17_12-43-01,1589733781,7.809014558792114,171.40065121650696,20740,prophet,129.2.189.146,171.40065121650696,128000,20,8,f7cf73d4,0,120000,128000,5095.283,36.145,2628.191,15.481,39.03636363636364,36.46363636363637,9.5367431640625e-07,4.999999873689376e-05,4.795796,0.0039946768,4.8214793,0.17251472,0.00076532055,2.9678442,0.009999999776482582,9.5367431640625e-07,4.999999873689376e-05,2.4619498,0.0018312143,2.4892352,-0.23157763,0.0021744375,2.9116843,0.009999999776482582,2.86102294921875e-06,4.999999873689376e-05,2.1363735,0.0033014063,2.158802,-0.056427,0.0017550314,2.5729938,0.009999999776482582,9.5367431640625e-07,4.999999873689376e-05,1.7318715,-0.001630762,1.7600594,-0.26591277,0.0017412462,2.6556883,0.009999999776482582,2.86102294921875e-06,4.999999873689376e-05,0.8818142,0.001038504,0.91219497,-0.37669754,0.0011526517,3.1419373,0.009999999776482582
