episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
32.19445684936824,-21.76387761552604,-5.453523159081979,501.0,64,6400,False,70400,128,11,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-37-17,1580870237,11.095399856567383,121.61398768424988,8191,gammaumd8,10.70.51.95,121.61398768424988,70400,11,8,1eaf7424,0,352000,70400,5045.25,78.92,5730.536,9.665,45.67999999999999,51.10666666666667,0.0,0.010353283080555806,0.056,0.08149559851166167,0.00048828125,4.999999873689376e-05,110.92703,0.0011928114,110.955795,0.04687118,0.0022376548,2.9953718,0.009999999776482582
32.19445684936824,-21.76387761552604,-5.453523159081978,501.0,0,6400,False,76800,128,12,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-37-28,1580870248,11.011016130447388,132.62500381469727,8191,gammaumd8,10.70.51.95,132.62500381469727,76800,12,8,1eaf7424,0,384000,76800,5054.822,80.949,5734.667,9.532,45.40714285714286,51.35714285714287,0.0,0.010353283080555806,0.05428571428571428,0.08149559851166167,0.000244140625,4.999999873689376e-05,2.0346594,0.0007677628,2.063762,0.5271996,0.0013006071,2.9870558,0.009999999776482582
32.19445684936824,-21.76387761552604,-5.453523159081978,501.0,0,6400,False,83200,128,13,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-37-39,1580870259,10.803590059280396,143.42859387397766,8191,gammaumd8,10.70.51.95,143.42859387397766,83200,13,8,1eaf7424,0,416000,83200,5055.468,81.839,5712.549,9.454,45.42857142857143,51.45000000000001,0.0,0.010353283080555806,0.04928571428571428,0.08149559851166167,0.0001220703125,4.999999873689376e-05,2.704255,0.0009106919,2.7331352,0.46742812,0.0016018831,2.979116,0.009999999776482582
32.19445684936824,-21.76387761552604,-5.453523159081978,501.0,0,6400,False,89600,128,14,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-37-50,1580870270,10.990607023239136,154.4192008972168,8191,gammaumd8,10.70.51.95,154.4192008972168,89600,14,8,1eaf7424,0,448000,89600,5073.455,82.283,5727.69,9.39,45.85714285714287,51.407142857142865,0.0,0.010353283080555806,0.052857142857142846,0.08149559851166167,6.103515625e-05,4.999999873689376e-05,2.1659954,0.00064076064,2.195187,0.4358983,0.0015334124,2.9832563,0.009999999776482582
32.19445684936824,-21.76387761552604,-5.453523159081978,501.0,0,6400,False,96000,128,15,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-01,1580870281,11.123977661132812,165.5431785583496,8191,gammaumd8,10.70.51.95,165.5431785583496,96000,15,8,1eaf7424,0,480000,96000,5104.42,82.674,5751.902,9.367,44.96666666666666,51.52666666666665,0.0,0.010353283080555806,0.05799999999999999,0.08149559851166167,3.0517578125e-05,4.999999873689376e-05,2.2480907,0.0009401825,2.277102,0.42422783,0.0021629948,2.9951515,0.009999999776482582
32.19445684936824,-21.925473646256407,-7.72958524676653,501.0,64,6400,False,102400,192,16,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-12,1580870292,11.100234270095825,176.64341282844543,8191,gammaumd8,10.70.51.95,176.64341282844543,102400,16,8,1eaf7424,0,512000,102400,5103.253,80.868,5760.035,9.102,45.77857142857143,51.471428571428554,0.0,0.010353283080555806,0.04714285714285714,0.08149559851166167,1.52587890625e-05,4.999999873689376e-05,191.94365,0.0011040687,191.97266,0.02302067,0.0023760074,3.0120826,0.009999999776482582
32.19445684936824,-21.925473646256407,-7.729585246766532,501.0,0,6400,False,108800,192,17,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-23,1580870303,10.866705417633057,187.5101182460785,8191,gammaumd8,10.70.51.95,187.5101182460785,108800,17,8,1eaf7424,0,544000,108800,5108.805,78.469,5757.631,8.719,45.22,51.55999999999999,0.0,0.010353283080555806,0.06133333333333333,0.08149559851166167,7.62939453125e-06,4.999999873689376e-05,2.5603163,0.00077195535,2.5902238,0.27842125,0.0013698329,3.067957,0.009999999776482582
32.19445684936824,-21.925473646256407,-7.729585246766532,501.0,0,6400,False,115200,192,18,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-34,1580870314,11.12450122833252,198.634619474411,8191,gammaumd8,10.70.51.95,198.634619474411,115200,18,8,1eaf7424,0,576000,115200,5124.971,80.014,5771.136,8.446,46.44999999999999,51.74285714285714,0.0,0.010353283080555806,0.05499999999999999,0.08149559851166167,3.814697265625e-06,4.999999873689376e-05,1.9590113,0.0008647884,1.9889693,0.32192808,0.0015260781,3.0822914,0.009999999776482582
32.19445684936824,-21.925473646256407,-7.729585246766532,501.0,0,6400,False,121600,192,19,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-45,1580870325,10.816271781921387,209.4508912563324,8191,gammaumd8,10.70.51.95,209.4508912563324,121600,19,8,1eaf7424,0,608000,121600,5111.446,80.048,5760.267,8.409,47.028571428571425,51.907142857142865,0.0,0.010353283080555806,0.052857142857142846,0.08149559851166167,1.9073486328125e-06,4.999999873689376e-05,1.3133339,0.00034955272,1.3439803,0.29896855,0.0017620316,3.0996118,0.009999999776482582
32.19445684936824,-21.925473646256407,-7.729585246766532,501.0,0,6400,False,128000,192,20,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-38-56,1580870336,10.55202603340149,220.0029172897339,8191,gammaumd8,10.70.51.95,220.0029172897339,128000,20,8,1eaf7424,0,640000,128000,5089.126,80.226,5733.989,8.583,45.6,51.928571428571445,0.0,0.010353283080555806,0.05785714285714285,0.08149559851166167,9.5367431640625e-07,4.999999873689376e-05,1.2340149,0.0005054076,1.2646172,0.3109498,0.001940501,3.1107824,0.009999999776482582
