episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/policy_reward_min/policy_0,evaluation/policy_reward_max/policy_0,evaluation/policy_reward_mean/policy_0,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms,info/learner/policy_0/td_error,info/learner/policy_0/actor_loss,info/learner/policy_0/critic_loss,info/learner/policy_0/mean_q,info/learner/policy_0/max_q,info/learner/policy_0/min_q
-104.99591247690842,-104.99591247690842,-104.99591247690842,39.0,1,2560,False,2560,1,1,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-36,1580791476,2.298043966293335,2.298043966293335,17906,gammaumd8,10.70.51.95,2.298043966293335,2560,1,8,0071747e,0,-104.93181388646676,0.011775008790813501,-34.99863749230281,13.985534993613639,1.360794393027701,7.2617414521008,1.0,1.0,2,512,2560,731.295,73.17,641.416,40.241,798.234,512.0,22.433333333333337,27.3,0.0,0.010262464807919354,0.01,0.03475814502223432,-7.060657110065222,-121.30295236990789,-64.18180473998655,166.5,2,-108.55206510882515,-1.0277444489765912,-21.39393491332885,12.456177478999047,1.1060107406692126,5.29811394155322,6.6831937,-2.6357148,3.3415968,0.019927552,0.12638295,-0.100550465
-90.4594229219947,-213.25657481211238,-107.56743484651943,63.35294117647059,51,2560,False,5120,52,2,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-39,1580791479,1.3461463451385498,3.6441903114318848,17906,gammaumd8,10.70.51.95,3.6441903114318848,5120,2,8,0071747e,0,-109.99769498912309,4.636229590202369,-35.85581161550648,14.15217658619822,1.7364504723420762,4.749376529701914,0.74912,0.74912,4,1536,5120,646.737,47.115,226.815,39.572,2257.342,512.0,11.1,27.675,0.0,0.010262464807919354,0.0075,0.03475814502223432,-4.068499203538529,-4.068499203538529,-4.068499203538529,200.0,1,-1.393955348602809,-1.3022060166889204,-1.3561664011795098,12.456177478999047,1.1060107406692126,5.29811394155322,62.06559,-2.840775,31.032799,0.15293849,0.28770047,0.025299909
-86.76824569632299,-192.3889208259061,-109.36226155148132,71.3157894736842,19,2560,False,7680,71,3,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-40,1580791480,1.2783961296081543,4.922586441040039,17906,gammaumd8,10.70.51.95,4.922586441040039,7680,3,8,0071747e,0,-114.22812799333285,6.0143446831498295,-36.45408718382711,14.078199578244153,1.6440826688138437,3.8750098030584805,0.49824,0.49824,6,2560,7680,614.487,41.071,143.36,35.849,3571.424,512.0,21.0,27.85,0.0,0.010262464807919354,0.0,0.03475814502223432,-2.2231292838696532,-2.2231292838696532,-2.2231292838696532,200.0,1,-1.4966136065001336,0.5984588014737966,-0.7410430946232177,12.456177478999047,1.1060107406692126,5.29811394155322,24.38091,-3.0005498,12.1904545,0.28148565,0.4976388,0.13628893
-92.13527560560033,-200.63199584791437,-106.33598727469861,75.45945945945945,37,2560,False,10240,108,4,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-41,1580791481,1.3258228302001953,6.248409271240234,17906,gammaumd8,10.70.51.95,6.248409271240234,10240,4,8,0071747e,0,-108.75349690617685,3.7010393948294222,-35.445329091566215,14.152106971414131,1.7365122153612116,3.5143917151619695,0.24736000000000002,0.24736000000000002,8,3584,10240,599.032,41.126,107.271,35.648,4772.975,512.0,22.6,28.1,0.0,0.010262464807919354,0.005,0.03621018241219712,-7.043471959885224,-7.043471959885224,-7.043471959885224,200.0,1,-3.0324474320902226,-1.13419757635954,-2.347823986628408,12.456177478999047,1.1060107406692126,5.29811394155322,61.093624,-3.150515,30.546814,0.41338813,0.59387463,0.22649828
12.69538316968827,-216.11051301658154,-98.87766128120029,79.84375,32,2560,False,12800,140,5,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-43,1580791483,1.3387327194213867,7.587141990661621,17906,gammaumd8,10.70.51.95,7.587141990661621,12800,5,8,0071747e,0,-110.24525856141312,4.656257663465411,-32.95922042706677,14.066000445861722,1.7383696131445283,3.2760548354381354,0.020000000000000018,0.020000000000000018,10,4608,12800,591.877,40.167,86.956,35.905,5888.037,512.0,20.799999999999997,28.299999999999997,0.0,0.010262464807919354,0.0,0.037662219802159905,-2.4999220413155925,-2.4999220413155925,-2.4999220413155925,200.0,1,-2.5622473059532567,1.2117244470088409,-0.8333073471051975,12.456177478999047,1.1060107406692126,5.29811394155322,42.01918,-3.3069506,21.009588,0.56020665,0.79683834,0.32692793
-90.10290127177723,-188.9583716103807,-107.47257051742636,70.26666666666667,30,2560,False,15360,170,6,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-44,1580791484,1.3695087432861328,8.956650733947754,17906,gammaumd8,10.70.51.95,8.956650733947754,15360,6,8,0071747e,0,-115.47772317325388,4.245707583846524,-35.82419017247546,14.119975068922033,1.766027784281582,3.144133371271367,0.020000000000000018,0.020000000000000018,12,5632,15360,561.704,38.518,16.907,33.278,30282.502,512.0,19.1,28.45,0.0,0.010262464807919354,0.005,0.037662219802159905,-101.9207832007669,-129.94013122585602,-115.93045721331146,126.5,2,-109.84925021828774,0.9494141322405341,-38.6434857377705,12.562720184652214,1.131898317581568,5.0331058665218515,22.53359,-3.444526,11.266794,0.7057552,0.9631059,0.4665337
-9.387335019884638,-138.9747633500956,-96.43215494650114,85.4054054054054,37,2560,False,17920,207,7,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-47,1580791487,1.3488490581512451,10.305499792098999,17906,gammaumd8,10.70.51.95,10.305499792098999,17920,7,8,0071747e,0,-112.26970690946715,5.338498912518844,-32.144051648833724,14.170308519902568,1.784462716426484,3.0128133747570094,0.020000000000000018,0.020000000000000018,14,6656,17920,560.931,40.393,15.238,34.784,33601.053,512.0,12.9,28.5,0.0,0.010262464807919354,0.01,0.037662219802159905,-96.89020645665005,-96.9057460743934,-96.89797626552172,109.0,2,-99.9815648944738,1.9299002931608484,-32.29932542184058,12.530421599363669,1.06507081251878,4.775495865406135,22.115679,-3.600559,11.057841,0.8586202,1.1968764,0.57835287
2.7236611468251652,-122.82462918502279,-99.46487315412527,77.35897435897436,39,2560,False,20480,246,8,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-49,1580791489,1.3490321636199951,11.654531955718994,17906,gammaumd8,10.70.51.95,11.654531955718994,20480,8,8,0071747e,0,-108.6409752049949,4.2257766525726765,-33.154957718041764,14.135260962480098,1.8082073925306876,2.9398084153419815,0.020000000000000018,0.020000000000000018,16,7680,20480,561.934,44.33,14.551,36.251,35185.846,512.0,15.2,28.525,0.0,0.010262464807919354,0.0075,0.037662219802159905,-92.95177387655713,-92.99310254957528,-92.9724382130662,119.0,2,-98.69825526257046,3.365381301846355,-30.99081273768874,12.516962854485763,1.1045851574593653,4.728261162252987,96.94007,-3.7772903,48.47004,1.0408999,1.4310231,0.66559386
11.398375361692153,-115.58499008812943,-100.45205520429752,67.77777777777777,27,2560,False,23040,273,9,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-51,1580791491,1.3052561283111572,12.959788084030151,17906,gammaumd8,10.70.51.95,12.959788084030151,23040,9,8,0071747e,0,-106.85985788408045,3.9294780682927595,-33.484018401432515,14.071817751284003,1.8068360122910785,2.8799622440700148,0.020000000000000018,0.020000000000000018,18,8704,23040,558.086,46.645,14.432,35.896,35476.305,512.0,18.05,28.6,0.0,0.010262464807919354,0.005,0.037662219802159905,2.8754399041645087,-179.99111351626928,-88.55783680605239,163.0,2,-93.60989714336273,6.795777710465089,-29.51927893535081,12.526776262386116,1.156485009336186,4.684850127397183,39.791424,-3.9569516,19.89571,1.2229759,1.6383281,0.7410747
-9.219645990757272,-121.28859419352376,-99.81867179168366,77.17073170731707,41,2560,False,25600,314,10,b0f32128641a4cb7a78b1004e2329954,2020-02-03_23-44-53,1580791493,1.4133658409118652,14.373153924942017,17906,gammaumd8,10.70.51.95,14.373153924942017,25600,10,8,0071747e,0,-110.24277951343296,3.3106693855176346,-33.27289059722789,14.09069105885802,1.8204716056608876,2.8134909622223008,0.020000000000000018,0.020000000000000018,20,9728,25600,561.018,48.239,14.796,38.703,34604.796,512.0,16.8,28.7,0.0,0.010262464807919354,0.01,0.037662219802159905,-76.43845213274471,-109.83212441997604,-93.13528827636037,138.5,2,-103.74025184925026,8.49288369785063,-31.045096092120122,12.484280986988798,1.1538660272638848,4.615152769900383,58.302513,-4.1688147,29.151253,1.4213125,1.9818329,0.887443
