episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
371.14999999999844,17.530000000000143,161.51129999999986,501.0,64,12800,False,136960,256,11,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-13-09,1580850789,10.995425939559937,118.89532709121704,61388,Prophet,10.72.12.27,118.89532709121704,136960,11,8,d961c0f2,0,136960,136960,1086.475,7.051,4.578,181540.289,1178.122,1280.0,51.26153846153846,22.1,0.015384615384615387,0.3368833060258511,0.0006956544239073992,4352.8145,15447.129,24.605387,13265.016,40.0,0.07293242
371.14999999999844,17.530000000000143,161.51129999999984,501.0,0,12800,False,149760,256,12,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-13-19,1580850799,10.220319509506226,129.11564660072327,61388,Prophet,10.72.12.27,129.11564660072327,149760,12,8,d961c0f2,0,149760,149760,1008.432,7.581,4.641,168839.012,1269.297,1280.0,51.28333333333333,22.099999999999998,0.01666666666666667,0.33701984343710184,0.0006952063995413482,-563.274,15086.99,24.698994,8792.541,40.0,0.12529695
280.0899999999976,71.23000000000098,170.36829999999975,501.0,64,14080,False,163840,320,13,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-13-30,1580850810,11.158651113510132,140.2742977142334,61388,Prophet,10.72.12.27,140.2742977142334,163840,13,8,d961c0f2,0,163840,163840,1007.961,7.378,4.563,173481.322,1269.89,1280.0,51.24615384615384,22.1,0.009999999999999998,0.3370093405593133,0.0006947583751752973,1029.9224,15041.04,24.765085,10740.514,40.0,0.20397753
280.0899999999976,71.23000000000098,170.3682999999998,501.0,0,12800,False,176640,320,14,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-13-41,1580850821,10.779392004013062,151.05368971824646,61388,Prophet,10.72.12.27,151.05368971824646,176640,14,8,d961c0f2,0,176640,176640,1064.576,7.259,4.729,176338.346,1202.357,1280.0,50.06923076923077,22.1,0.00923076923076923,0.3368833060258511,0.0006942655891180038,3281.4531,15608.221,24.908646,15925.912,40.0,0.13774252
280.0899999999976,71.23000000000098,170.3682999999998,501.0,0,14080,False,190720,320,15,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-13-52,1580850832,10.284890413284302,161.33858013153076,61388,Prophet,10.72.12.27,161.33858013153076,190720,15,8,d961c0f2,0,190720,190720,917.097,7.12,4.479,179768.927,1395.709,1280.0,50.43333333333334,22.099999999999998,0.009999999999999998,0.3368833060258511,0.0006938176229596138,436.2978,14963.518,25.01757,11152.865,40.0,0.20346689
323.58999999999764,70.84000000000027,178.9556999999997,501.0,64,12800,False,203520,384,16,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-02,1580850842,10.742210865020752,172.0807909965515,61388,Prophet,10.72.12.27,172.0807909965515,203520,16,8,d961c0f2,0,203520,203520,1060.271,7.672,4.796,166849.793,1207.238,1280.0,51.46153846153846,22.199999999999996,0.011538461538461537,0.3368833060258511,0.0006933247786946595,2118.6704,15195.914,25.025434,12635.062,40.0,0.16158623
323.58999999999764,70.84000000000027,178.95569999999975,501.0,0,12800,False,216320,384,17,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-13,1580850853,10.207306146621704,182.28809714317322,61388,Prophet,10.72.12.27,182.28809714317322,216320,17,8,d961c0f2,0,216320,216320,1002.904,11.731,4.651,109116.112,1276.293,1280.0,50.275,22.2,0.0175,0.3368833060258511,0.0006928768125362694,-378.524,15175.172,25.150373,10592.728,40.0,0.11629695
378.38999999999754,64.53000000000016,185.41409999999968,501.0,64,12800,False,229120,448,18,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-23,1580850863,10.202181816101074,192.4902789592743,61388,Prophet,10.72.12.27,192.4902789592743,229120,18,8,d961c0f2,0,229120,229120,1007.433,6.956,4.34,184003.575,1270.556,1280.0,50.224999999999994,22.2,0.009166666666666665,0.3368833060258511,0.0006924287881702185,3574.0625,14007.074,25.223757,16347.094,40.000004,0.20630985
378.38999999999754,64.53000000000016,185.41409999999962,501.0,0,12800,False,241920,448,19,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-33,1580850873,10.51064157485962,203.0009205341339,61388,Prophet,10.72.12.27,203.0009205341339,241920,19,8,d961c0f2,0,241920,241920,1038.022,7.308,4.187,175151.512,1233.115,1280.0,50.169230769230765,22.199999999999996,0.009999999999999998,0.3368833060258511,0.0006919808220118284,-3269.691,14485.243,25.261028,5958.538,40.0,0.2544127
378.38999999999754,64.53000000000016,185.41409999999962,501.0,0,14080,False,256000,448,20,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-44,1580850884,10.495699882507324,213.49662041664124,61388,Prophet,10.72.12.27,213.49662041664124,256000,20,8,d961c0f2,0,256000,256000,939.12,6.919,4.441,184990.115,1362.979,1280.0,50.69166666666666,22.2,0.010833333333333332,0.3368833060258511,0.0006915327976457775,910.69226,14645.489,25.316065,11508.915,40.0,0.17938697
