episode,reward
25824,-101.18828096287167
25920,-103.74053671766958
26016,-99.62220827303096
26112,-110.01937932899929
26208,-102.25536390751708
26304,-103.92650416750749
26400,-103.8621099386824
26496,-101.81539536261462
26592,-103.11950858755283
26688,-100.46860391634979
26784,-108.67007320472835
26880,-103.6338118034472
26976,-105.08853933619449
27072,-102.04369539755862
27168,-103.57185045404889
27264,-103.1622504969857
27360,-102.21141301131507
27456,-101.76595247532171
27552,-101.02927530864932
27648,-100.62395113474733
27744,-102.43094580650632
27840,-106.13500302498858
27936,-101.15407174390086
28032,-99.36711433037274
28128,-99.73839754557909
28224,-107.24252948416256
28320,-104.3964053990179
28416,-103.2351752120084
28512,-101.16639808845025
28608,-101.62511901377977
28704,-101.83292089645936
28800,-103.6191267624018
28896,-100.67805785376541
28992,-98.82431398703682
29088,-102.36005708324119
29184,-105.79633107959677
29280,-108.25696333397603
29376,-100.51569480513206
29472,-103.60789869219282
29568,-101.27944023374587
29664,-102.0232197273397
29760,-100.28500098996803
29856,-98.37282341752027
29952,-106.12997993651274
30048,-103.37463594114283
30144,-105.82040940147527
30240,-103.97973953307753
30336,-100.48266953235625
30432,-97.0327086322276
30528,-101.76477923000024
30624,-103.76379567578985
30720,-100.24201564351586
30816,-100.23615874080681
30912,-100.49694767523266
31008,-103.29177908840215
31104,-104.91561899433515
31200,-102.18322007172546
31296,-100.9249894931089
31392,-104.11375129953572
31488,-105.25780987109465
31584,-104.19541154029132
31680,-104.0074185657917
31776,-104.95738018468542
31872,-102.14530466496686
31968,-100.18657533711375
32064,-101.82792843927977
32160,-104.0657646704056
32256,-102.64043527243015
32352,-103.52496707214358
32448,-104.44449272760772
32544,-100.21537995644266
32640,-100.33680351223325
32736,-103.89179809942763
32832,-100.92602447220987
32928,-102.8443610040838
33024,-98.03817606414307
33120,-99.2442895260342
33216,-108.67861122644429
33312,-99.49871296314188
33408,-101.39828777150846
33504,-103.14982465188834
33600,-102.33505980980426
33696,-102.00110528336018
33792,-101.56502239304737
33888,-98.47898183725455
