episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
-87.24099792679772,-134.64502701698805,-107.2231395669543,64.45679012345678,162,15360,False,15360,162,1,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-24-58,1580783098,10.536897659301758,10.536897659301758,24882,gammaumd5,10.70.51.83,10.536897659301758,15360,1,8,80bf117c,0,-116.27288193015072,5.174683992052451,-35.7410465223181,16.45562697138419,4.321239527226545,2.059462446516932,15360,15360,526.439,13.92,10.801,91956.404,2431.431,1280.0,39.98571428571429,46.22142857142857,0.0,0.013525780682643427,0.06,0.06749380939416334,0.000699999975040555,-57740.082,18937.305,20.522358,563285.06,40.0,-0.0037882328
-9.496723047923311,-318.08232389530167,-103.55547408582831,96.42600896860986,223,24320,False,39680,385,2,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-08,1580783108,10.03551459312439,20.572412252426147,24882,gammaumd5,10.70.51.83,20.572412252426147,39680,2,8,80bf117c,0,-134.63344052558145,7.653891528413318,-34.51849136194277,16.10936554381605,4.436328785164127,1.7768943390615175,39680,39680,487.108,13.634,7.509,93884.977,2627.751,1280.0,39.52142857142858,47.02857142857143,0.0014285714285714286,0.013597105508870212,0.05999999999999999,0.06842726200199656,0.0006994624272920191,-79365.555,21598.969,20.687939,794394.5,40.000004,-0.012546897
0.5381194290239222,-349.09038196923217,-102.54714911855265,93.09236947791165,249,25600,False,65280,634,3,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-18,1580783118,10.410212993621826,30.982625246047974,24882,gammaumd5,10.70.51.83,30.982625246047974,65280,3,8,80bf117c,0,-133.76574911394468,5.025909015831225,-34.18238303951755,15.82965492342706,4.350673428900499,1.7101914147163413,65280,65280,507.614,10.694,8.983,119687.914,2521.6,1280.0,39.853846153846156,47.10000000000001,0.0,0.01361655773420479,0.05,0.06842726200199656,0.0006986111984588206,-22454.957,24627.844,20.915102,466719.72,40.0,0.033575237
13.350889156106845,-210.6957146206405,-102.59846287105226,73.90066225165563,453,25600,False,90880,1087,4,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-29,1580783129,10.292489767074585,41.27511501312256,24882,gammaumd5,10.70.51.83,41.27511501312256,90880,4,8,80bf117c,0,-111.7022729946766,4.4869181838196965,-34.199487623684085,15.585187718497702,4.4780582377944596,1.6825742123156477,90880,90880,492.85,11.388,9.44,112400.744,2597.139,1280.0,41.035714285714285,47.11428571428572,0.0,0.01361655773420479,0.05,0.06842726200199656,0.0006977152079343796,-13111.95,25834.574,21.11791,765056.2,40.0,0.021582246
1.0155243750195808,-311.3504939964041,-108.05604591048747,47.13949275362319,552,25600,False,116480,1639,5,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-39,1580783139,10.18596601486206,51.46108102798462,24882,gammaumd5,10.70.51.83,51.46108102798462,116480,5,8,80bf117c,0,-115.70563943715145,3.106596107749887,-36.01868197016249,15.309676012925197,4.595575167066028,1.6659716934437447,116480,116480,488.104,10.418,8.509,122867.814,2622.392,1280.0,41.5076923076923,47.20000000000001,0.0,0.01361655773420479,0.056153846153846144,0.06842726200199656,0.0006968192174099386,-11361.217,18845.924,21.315077,927710.4,40.0,0.049888074
6.410410941811264,-212.96506640221924,-109.37952746530732,47.48523985239852,542,25600,False,142080,2181,6,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-49,1580783149,10.18005657196045,61.64113759994507,24882,gammaumd5,10.70.51.83,61.64113759994507,142080,6,8,80bf117c,0,-114.94747918409605,3.2087493650227117,-36.45984248843578,15.125616673560748,4.666055476234265,1.6566769465398352,142080,142080,481.787,12.507,8.225,102339.684,2656.778,1280.0,39.56153846153847,47.26153846153845,0.0,0.01361655773420479,0.06461538461538462,0.06842726200199656,0.0006959232268854976,6538.25,18131.844,21.454117,856334.7,40.0,0.11426002
-0.28922329493798316,-214.59786862391047,-107.07222094537919,52.90087463556851,343,25600,False,167680,2524,7,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-25-59,1580783159,10.266826868057251,71.90796446800232,24882,gammaumd5,10.70.51.83,71.90796446800232,167680,7,8,80bf117c,0,-113.98689948294002,7.733565263217315,-35.6907403151264,15.068055328719684,4.638567467635876,1.6487690706761913,167680,167680,507.009,14.592,10.32,87720.995,2524.608,1280.0,39.300000000000004,47.29999999999999,0.0,0.01361655773420479,0.05214285714285714,0.06842726200199656,0.0006950271781533957,22134.227,19806.785,21.608788,65019.77,40.0,0.37023616
3.8934641759842634,-210.5786333447322,-78.25277048272314,207.34,44,24320,False,192000,2568,8,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-26-10,1580783170,10.216389417648315,82.12435388565063,24882,gammaumd5,10.70.51.83,82.12435388565063,192000,8,8,80bf117c,0,-112.38812907195341,3.8398273137863725,-26.084256827574386,15.010914030292465,4.514342397151868,1.6272749043780304,192000,192000,521.129,11.531,9.358,111004.932,2456.205,1280.0,41.03076923076923,47.33846153846154,0.0,0.013525780682643427,0.05538461538461538,0.06842726200199656,0.0006941311876289546,136.92993,21138.242,21.59704,592.14465,40.0,0.24458683
5.763871933100731,-225.83765609911643,-41.61744369035179,401.45,46,24320,False,216320,2614,9,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-26-20,1580783180,10.276315450668335,92.40066933631897,24882,gammaumd5,10.70.51.83,92.40066933631897,216320,9,8,80bf117c,0,-109.66033313555333,4.9095093467428015,-13.872481230117264,15.296957033840183,4.479112810527664,1.6439988919195394,216320,216320,517.352,10.575,11.531,121041.73,2474.139,1280.0,40.68571428571429,47.39999999999999,0.0,0.013525780682643427,0.049999999999999996,0.06842726200199656,0.000693280017003417,-3780.166,27969.562,21.626324,105395.414,40.0,0.05719495
19.674640257377177,-210.2010478079319,-71.39010775116093,266.6090909090909,110,25600,False,241920,2724,10,ef5053d49dd745939b24f19abff950cd,2020-02-03_21-26-30,1580783190,10.20755934715271,102.60822868347168,24882,gammaumd5,10.70.51.83,102.60822868347168,241920,10,8,80bf117c,0,-116.15953143523075,10.81551360742499,-23.796702583720307,15.48386813442561,4.399418101703174,1.643882416093236,241920,241920,489.767,10.386,9.027,123237.569,2613.489,1280.0,41.33846153846154,47.46923076923077,0.0,0.013525780682643427,0.060000000000000005,0.06842726200199656,0.0006924287881702185,-6631.062,24226.596,21.78296,125553.74,40.0,0.28279054
