episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,info/sample_throughput,info/train_throughput,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/grad_gnorm
60.950000000000095,10.509999999999833,26.80800000000032,501.0,0,13440,False,147840,256,11,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-21-50,1580768510,11.981825590133667,130.55766677856445,15764,Prophet,10.72.12.27,130.55766677856445,147840,11,8,40755be8,0,147840,147840,926,0,1119.99,1173.323,55.79333333333333,22.800000000000004,0.02133333333333333,0.33014746040415066,150.758,83.629,nan,nan,456.292,231,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004966399865224957,63.349384,1.6979136,0.009999999776482582,27.591894,32055.262,0.7694314,40.0
47.77000000000012,13.049999999999796,24.96920000000033,501.0,64,13440,False,161280,320,12,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-22-02,1580768522,11.856959819793701,142.41462659835815,15764,Prophet,10.72.12.27,142.41462659835815,161280,12,8,40755be8,0,160640,161280,1008,0,1130.838,1076.989,58.36666666666666,22.800000000000004,0.048000000000000015,0.3308392499544875,172.544,97.549,nan,nan,453.542,252,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004963040119037032,-25.716852,581.6775,0.009999999776482582,27.714058,602496.75,0.4135124,40.0
47.77000000000012,13.049999999999796,24.96920000000034,501.0,0,13440,False,174720,320,13,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-22-14,1580768534,11.942790746688843,154.357417345047,15764,Prophet,10.72.12.27,154.357417345047,174720,13,8,40755be8,0,174080,174720,1092,0,1118.384,1118.384,59.028571428571425,22.800000000000004,0.04,0.33330732620738096,149.123,51.446,nan,nan,496.907,273,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004959679790772498,-0.13722451,2.5832338,0.009999999776482582,27.965265,35141.89,0.67052454,39.999996
47.77000000000012,13.049999999999796,24.96920000000034,501.0,0,12800,False,187520,320,14,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-22-27,1580768547,12.438345670700073,166.79576301574707,15764,Prophet,10.72.12.27,166.79576301574707,187520,14,8,40755be8,0,186880,187520,1172,0,1027.068,1027.068,65.22666666666666,27.37333333333333,0.034666666666666665,0.3663875235147763,168.034,70.979,nan,nan,523.735,293,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004956320044584572,0.14494221,3.3632708,0.009999999776482582,28.198793,39309.625,0.64780116,40.0
44.76000000000049,13.049999999999796,24.75120000000034,501.0,64,8960,False,196480,384,15,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-22-40,1580768560,12.789544820785522,179.5853078365326,15764,Prophet,10.72.12.27,179.5853078365326,196480,15,8,40755be8,0,196480,196480,1231,0,696.242,745.973,93.43333333333332,34.47333333333333,0.01266666666666667,0.434407427635172,232.887,105.834,nan,nan,679.057,307,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.000495311978738755,0.0071322843,3.9504886,0.009999999776482582,28.317518,36936.41,0.6883726,40.0
44.76000000000049,13.049999999999796,24.751200000000345,501.0,0,12160,False,208640,384,16,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-22-53,1580768573,13.125275611877441,192.71058344841003,15764,Prophet,10.72.12.27,192.71058344841003,208640,16,8,40755be8,0,208000,208640,1304,0,924.804,876.13,81.47999999999999,35.5,0.08,0.44620425996723084,284.048,105.009,nan,nan,591.234,326,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.00049508799565956,0.034177512,1.742351,0.009999999776482582,28.578993,46790.06,0.5706101,40.0
44.76000000000049,13.049999999999796,24.55310000000034,501.0,8,11520,False,220160,392,17,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-23-05,1580768585,12.638994216918945,205.34957766532898,15764,Prophet,10.72.12.27,205.34957766532898,220160,17,8,40755be8,0,219520,220160,1376,0,910.01,910.01,82.33333333333333,35.47999999999999,0.082,0.44620425996723084,227.668,96.082,nan,nan,609.757,344,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004947839770466089,-0.087814234,2.1613617,0.009999999776482582,28.727678,43968.324,0.68664783,40.000004
41.8500000000005,13.159999999999776,25.10610000000038,501.0,56,10880,False,231040,448,18,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-23-18,1580768598,12.801774501800537,218.15135216712952,15764,Prophet,10.72.12.27,218.15135216712952,231040,18,8,40755be8,0,231040,231040,1446,0,848.111,898.0,83.20666666666668,35.48666666666666,0.08200000000000002,0.44620425996723084,209.392,75.835,nan,nan,611.456,361,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.00049449602374807,-0.00825061,3.8300858,0.009999999776482582,28.811296,46071.207,0.643349,40.0
41.8500000000005,13.159999999999776,25.106100000000378,501.0,0,11520,False,242560,448,19,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-23-31,1580768611,12.755372524261475,230.906724691391,15764,Prophet,10.72.12.27,230.906724691391,242560,19,8,40755be8,0,242560,242560,1517,0,901.774,901.774,83.02,35.49999999999999,0.08,0.44620425996723084,232.601,79.046,nan,nan,602.388,379,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004942240193486214,0.030159647,4.9931436,0.009999999776482582,28.982433,42747.133,0.59173346,40.0
42.61000000000054,15.979999999999732,25.410200000000387,501.0,32,11520,False,254080,480,20,79705c6eb2b74c04881edd51ee410fc9,2020-02-03_17-23-44,1580768624,13.047332525253296,243.9540572166443,15764,Prophet,10.72.12.27,243.9540572166443,254080,20,8,40755be8,0,254080,254080,1589,0,881.482,881.482,82.89375000000001,35.5,0.076875,0.446204259967231,234.406,79.53,nan,nan,613.864,397,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0004939360078424215,-0.5043504,4.010157,0.009999999776482582,29.16807,55354.504,0.640095,40.0
