episode_reward_mean,training_iteration
28.801250000000145,1
28.767500000000158,2
27.890416666666862,3
29.845625000000243,4
30.35450000000028,5
32.28937500000028,6
32.05642857142886,7
32.501250000000255,8
35.826388888889156,9
38.148500000000304,10
39.44954545454578,11
42.01979166666703,12
43.351900000000406,13
44.8524000000004,14
47.97630000000039,15
50.9056000000004,16
50.728800000000376,17
50.09780000000036,18
50.56860000000035,19
49.9786000000004,20
49.03310000000039,21
46.01470000000033,22
45.01370000000034,23
42.13210000000029,24
45.34480000000031,25
49.79500000000036,26
51.999900000000416,27
52.347200000000484,28
55.635300000000534,29
59.08830000000053,30
63.4361000000006,31
69.59290000000061,32
71.70480000000069,33
71.66010000000068,34
72.28430000000071,35
73.1413000000007,36
72.09770000000071,37
66.37380000000064,38
63.31600000000065,39
61.98840000000063,40
58.93900000000056,41
55.55920000000051,42
52.41380000000045,43
46.926900000000444,44
45.32650000000037,45
45.49710000000038,46
46.14690000000038,47
44.79210000000037,48
44.809600000000366,49
45.059100000000356,50
45.847700000000316,51
45.0035000000003,52
45.41490000000032,53
44.643000000000356,54
44.20490000000038,55
46.073600000000425,56
50.45940000000047,57
53.001000000000474,58
57.2544000000004,59
62.12300000000043,60
66.22990000000043,61
67.83700000000044,62
72.52240000000056,63
74.56220000000057,64
72.91650000000057,65
72.17190000000053,66
72.7355000000005,67
71.86340000000047,68
68.14130000000044,69
62.79290000000038,70
58.33220000000037,71
55.09820000000042,72
50.28920000000036,73
49.15190000000036,74
47.3170000000003,75
44.61190000000025,76
44.297800000000215,77
45.42350000000021,78
44.0604000000002,79
43.54090000000023,80
44.6115000000002,81
45.27980000000025,82
46.050400000000245,83
48.24470000000023,84
49.617200000000246,85
50.12110000000027,86
48.14220000000029,87
47.792100000000254,88
47.747200000000284,89
45.279200000000316,90
44.734600000000334,91
44.97640000000034,92
44.137300000000415,93
44.361900000000354,94
44.58590000000027,95
45.722100000000275,96
44.13470000000029,97
40.68440000000027,98
40.64680000000032,99
43.40690000000036,100
40.84070000000033,101
41.2533000000003,102
41.945900000000336,103
44.05820000000039,104
45.56530000000035,105
45.28570000000038,106
46.69620000000044,107
44.43870000000051,108
43.46750000000053,109
43.15020000000052,110
43.025100000000485,111
42.80420000000043,112
43.034300000000485,113
48.35720000000045,114
50.65850000000046,115
50.992400000000444,116
51.228200000000385,117
52.266400000000424,118
54.07810000000038,119
55.135900000000355,120
56.69050000000031,121
58.60780000000037,122
59.88290000000036,123
59.35020000000037,124
58.82260000000039,125
56.22260000000034,126
52.81850000000037,127
51.41840000000033,128
49.47370000000033,129
48.578400000000386,130
44.19640000000036,131
42.87650000000037,132
42.985400000000375,133
43.38210000000039,134
41.26760000000038,135
40.619300000000365,136
39.44710000000036,137
37.44920000000035,138
36.31160000000036,139
34.392800000000385,140
34.40780000000036,141
34.030500000000366,142
32.90490000000036,143
32.11500000000035,144
31.52920000000035,145
28.45920000000033,146
27.562200000000317,147
27.6763000000003,148
27.692100000000313,149
28.7486000000003,150
28.781900000000277,151
28.631100000000274,152
29.24630000000026,153
28.063900000000253,154
29.21750000000027,155
29.582800000000276,156
30.441600000000275,157
30.444000000000255,158
30.805100000000255,159
30.274000000000264,160
30.69660000000023,161
29.63150000000023,162
30.235500000000226,163
31.012700000000244,164
31.75240000000026,165
33.62980000000026,166
34.05930000000025,167
34.46930000000025,168
34.804000000000244,169
35.11910000000025,170
34.94630000000022,171
34.38460000000021,172
34.787700000000214,173
35.28270000000023,174
34.65360000000025,175
34.880100000000255,176
33.23800000000022,177
32.44230000000021,178
30.8525000000002,179
30.867600000000188,180
31.032100000000142,181
30.589800000000167,182
30.67070000000019,183
32.19460000000019,184
32.4955000000002,185
32.203700000000204,186
32.72460000000018,187
33.141600000000174,188
33.060900000000174,189
33.24020000000017,190
33.561400000000205,191
33.36260000000023,192
32.35980000000023,193
31.295100000000247,194
31.58180000000023,195
29.92320000000022,196
29.17300000000024,197
28.474400000000237,198
28.470000000000237,199
26.658900000000244,200
26.900000000000276,201
26.850600000000266,202
26.631800000000286,203
26.18500000000029,204
27.564000000000306,205
27.91240000000031,206
27.874300000000304,207
28.75460000000031,208
30.045300000000328,209
31.067600000000326,210
31.188900000000345,211
32.21000000000033,212
32.40230000000033,213
32.72320000000034,214
33.97100000000035,215
33.43820000000035,216
34.058800000000325,217
33.307900000000316,218
34.302100000000294,219
33.9364000000003,220
34.649800000000276,221
34.77540000000025,222
36.23880000000025,223
35.76090000000025,224
35.19540000000027,225
34.48520000000023,226
35.00710000000022,227
36.36570000000022,228
37.76950000000024,229
38.25010000000022,230
38.41140000000023,231
37.83700000000023,232
44.68010000000027,233
51.07000000000027,234
59.48760000000024,235
67.87990000000028,236
73.26780000000029,237
81.9030000000003,238
92.11630000000031,239
99.23070000000031,240
99.79830000000031,241
98.81110000000031,242
