episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
143.02999999999957,19.410000000000025,40.89080000000027,501.0,64,6400,False,70400,128,11,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-47-35,1580770055,13.3585205078125,159.34005069732666,23785,Prophet,10.72.12.27,159.34005069732666,70400,11,8,c4266ace,0,561000,70400,8398.534,69.594,5862.745,11.955,82.96470588235294,37.73529411764706,0.08,0.4396504642271983,0.00048828125,4.999999873689376e-05,34.54463,-0.00035388183,34.561005,0.29189876,0.0012422592,1.6027695,0.009999999776482582
143.02999999999957,19.410000000000025,40.89080000000027,501.0,0,6400,False,76800,128,12,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-47-50,1580770070,15.011756420135498,174.35180711746216,23785,Prophet,10.72.12.27,174.35180711746216,76800,12,8,c4266ace,0,612000,76800,8485.254,69.701,5934.532,12.19,87.07368421052631,42.06842105263158,0.1273684210526316,0.4687544913622121,0.000244140625,4.999999873689376e-05,12.825169,-0.0013513679,12.842544,0.5149529,0.00159159,1.6023397,0.009999999776482582
143.02999999999957,19.410000000000025,40.89080000000027,501.0,0,6400,False,83200,128,13,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-48-13,1580770093,22.823750019073486,197.17555713653564,23785,Prophet,10.72.12.27,197.17555713653564,83200,13,8,c4266ace,0,663000,83200,8766.751,67.768,6430.573,12.5,96.18518518518519,49.42962962962962,0.06592592592592593,0.545532698181524,0.0001220703125,4.999999873689376e-05,11.907949,-0.0011820334,11.925127,0.4900866,0.0014616314,1.5997263,0.009999999776482582
143.02999999999957,19.410000000000025,40.89080000000027,501.0,0,6400,False,89600,128,14,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-48-37,1580770117,23.556697368621826,220.73225450515747,23785,Prophet,10.72.12.27,220.73225450515747,89600,14,8,c4266ace,0,714000,89600,9120.213,67.934,6932.56,18.631,96.1655172413793,49.958620689655156,0.07586206896551725,0.5508484152243923,6.103515625e-05,4.999999873689376e-05,10.865698,-0.0011047246,10.882737,0.45891663,0.0015638795,1.5935065,0.009999999776482582
143.02999999999957,19.410000000000025,40.89080000000027,501.0,0,6400,False,96000,128,15,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-48-58,1580770138,21.39261293411255,242.12486743927002,23785,Prophet,10.72.12.27,242.12486743927002,96000,15,8,c4266ace,0,765000,96000,9459.234,70.724,7341.283,21.882,96.1576923076923,49.97692307692307,0.12307692307692308,0.5508549342519851,3.0517578125e-05,4.999999873689376e-05,11.004244,-0.0005534355,11.020733,0.48638564,0.0010611484,1.5936203,0.009999999776482582
143.02999999999957,19.410000000000025,45.103000000000385,501.0,64,6400,False,102400,192,16,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-49-21,1580770161,23.023898601531982,265.148766040802,23785,Prophet,10.72.12.27,265.148766040802,102400,16,8,c4266ace,0,816000,102400,9755.41,73.767,7520.23,19.45,95.74642857142855,49.9892857142857,0.07785714285714286,0.5509089490520404,1.52587890625e-05,4.999999873689376e-05,52.696945,-0.00058313645,52.713486,0.20932914,0.0017546075,1.5954312,0.009999999776482582
143.02999999999957,19.410000000000025,45.103000000000385,501.0,0,6400,False,108800,192,17,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-49-45,1580770185,23.49337148666382,288.6421375274658,23785,Prophet,10.72.12.27,288.6421375274658,108800,17,8,c4266ace,0,867000,108800,10004.651,73.579,8127.285,20.431,96.27241379310345,50.04137931034483,0.07,0.5503430698632114,7.62939453125e-06,4.999999873689376e-05,12.270582,-0.0010483991,12.287635,0.48771957,0.0013995105,1.6002461,0.009999999776482582
143.02999999999957,19.410000000000025,45.103000000000385,501.0,0,6400,False,115200,192,18,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-50-08,1580770208,23.314826250076294,311.9569637775421,23785,Prophet,10.72.12.27,311.9569637775421,115200,18,8,c4266ace,0,918000,115200,10384.017,75.193,8734.231,21.687,96.30000000000003,50.103571428571435,0.08678571428571429,0.5501807495253699,3.814697265625e-06,4.999999873689376e-05,11.765277,-0.0018769208,11.78311,0.49259448,0.0015229146,1.5955939,0.009999999776482582
143.02999999999957,19.410000000000025,45.103000000000385,501.0,0,6400,False,121600,192,19,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-50-31,1580770231,22.30026149749756,334.2572252750397,23785,Prophet,10.72.12.27,334.2572252750397,121600,19,8,c4266ace,0,969000,121600,10706.02,75.661,9295.736,24.403,96.24814814814815,50.21111111111112,0.08333333333333333,0.5502154256933066,1.9073486328125e-06,4.999999873689376e-05,11.307671,-0.0013528089,11.324989,0.48542196,0.0011652756,1.5966187,0.009999999776482582
143.02999999999957,19.410000000000025,45.103000000000385,501.0,0,6400,False,128000,192,20,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-50-55,1580770255,24.29318380355835,358.550409078598,23785,Prophet,10.72.12.27,358.550409078598,128000,20,8,c4266ace,0,1020000,128000,11098.21,76.666,10005.932,24.952,96.38999999999997,50.25666666666666,0.08600000000000001,0.5501972207051399,9.5367431640625e-07,4.999999873689376e-05,11.221563,-0.0013351762,11.238865,0.49363723,0.0015416737,1.5968726,0.009999999776482582
