episode,reward
16224,-2.4098614340075284
16320,-2.1787921285714646
16416,-1.8333753234600891
16512,-3.1502753801365615
16608,-2.476249691792859
16704,-2.0399932136314938
16800,-2.155400722293292
16896,-2.5035411971872836
16992,-1.9293386360308258
17088,-2.436181788204813
17184,-2.4323521791207883
17280,-1.70021236521906
17376,-2.247493472359678
17472,-1.6816470432399955
17568,-2.50638169826094
17664,-0.596841229964951
17760,-2.16874209794494
17856,-2.678908449560889
17952,-1.6772845635340503
18048,-2.033548035404227
18144,-2.5965606945435806
18240,-0.6322329487619822
18336,-1.3455937439975068
18432,-0.8356998435143292
18528,-2.247945845030696
18624,-2.141319672896964
18720,-1.5032367269653104
18816,-0.49604887535359254
18912,-1.9525499826296624
19008,-1.8973056634043217
19104,-2.4342274268354425
19200,-2.452262616604253
19296,-1.7838966832673395
19392,-1.400777909185729
19488,-1.4517330928985852
19584,-1.529263314672865
19680,-2.62531972167666
19776,-1.006153596663197
19872,-2.0798171655559594
19968,-2.2782783209747666
20064,-1.4919016228699924
20160,-1.9951804267398177
20256,-1.7626854417661546
20352,-1.6226336270521593
20448,-1.6501037414886617
20544,-1.9977012637762037
20640,-1.7908211862833066
20736,-1.6675389865843715
20832,-1.0555877520722547
20928,-2.360501092903
21024,-2.47374929323582
21120,-1.9129646801697757
21216,-1.760818041719605
21312,-2.222091113101813
21408,-2.182694640368695
21504,-2.4113881266371604
21600,-0.4854494483993158
21696,-2.5722155815796457
21792,-2.1589319487167336
21888,-1.9759942474332304
21984,-1.8957929803865936
22080,-2.259831388008669
22176,-1.4313198658544177
22272,-2.0839576323877926
22368,-1.962707626249261
22464,-2.8152165095122546
22560,-3.0229668413140764
22656,-1.127755171440144
22752,-1.4389197388364572
22848,-2.147454564512861
22944,-2.3815319499976164
23040,-1.8952467574529064
23136,-2.281860872521444
23232,-1.8412916335760787
23328,-2.4854223939407385
23424,-1.5801289881842
23520,-1.5871421168799908
23616,-1.0021459466524607
23712,-1.3757547854481844
23808,-2.1220164725713997
23904,-3.0793351853049113
24000,-1.8384670785707318
24096,-2.5212074778310845
24192,-1.568257192598683
24288,-2.27646647480904
24384,-1.8384223954545333
24480,-0.5350982482459625
24576,-1.9428158002126752
24672,-3.042515608884593
24768,-0.8132558131517702
24864,-0.9847958458639927
24960,0.1599443223652632
25056,-1.598298192157313
25152,-1.6569171531864364
25248,-2.179823228449023
25344,-1.238783606866424
25440,-2.1708519158069306
25536,-1.192470583077828
25632,-2.21692201005822
25728,0.030019104072954828
25824,-2.0559156401618903
25920,-1.5987554408734879
26016,-0.8794532502789628
26112,-1.5161544371047158
26208,-1.5112147302941372
26304,-1.7026472448362235
26400,-0.8741603488610475
26496,-1.3547129598514087
26592,-2.0023776686449426
26688,-2.756221215808187
26784,-1.6888638044477113
26880,-2.3731799686043393
26976,-2.6114362457302853
27072,-2.8939841624209475
27168,-2.017395650669243
27264,-2.2880022316231647
27360,-1.1492752789518363
27456,-1.7109408030627395
27552,-2.4125467284193283
27648,-1.8173845028032947
27744,-1.7386202315836012
27840,-2.104045858418619
27936,-1.2752786593005374
28032,-2.2900604743712725
28128,-1.4357274576268753
28224,-2.3991782935840216
28320,-0.9561964340980713
28416,-1.0918147433779475
28512,-0.42449746933780924
28608,-2.3542173206434116
28704,-2.116996015242744
28800,-1.8820617270046636
28896,-2.31115599769406
28992,-2.093929652629662
29088,-1.830043787784382
29184,-1.415313681764112
29280,-1.6404387556892486
29376,-2.2945244905144513
29472,-2.1168834445844182
29568,-2.3625572447435346
29664,-1.2294509973077425
29760,-1.4351003048001043
29856,-1.270428153454957
29952,-1.0527206981807753
30048,-1.7439701774397292
30144,-1.9163973768358473
30240,-1.4106796353700704
30336,-1.9781915904582137
30432,-1.2293306820218968
30528,-2.393501688574652
30624,-1.1858505159225565
30720,-1.9570609275666573
30816,-2.2106556186370865
30912,-1.6042013001838091
31008,-1.5715495105927948
31104,-2.9564914103625775
31200,-1.5713462377590472
31296,-1.38788499421042
31392,-1.1882312617212887
31488,-1.207924192742219
31584,-2.0575989138005504
31680,-2.175413660713464
31776,-1.6788228519165032
31872,-2.671143314895798
31968,-0.8138735723181356
32064,-2.687675845166952
32160,-2.1789492147308636
32256,-1.2195722606775987
32352,-1.50177945771129
32448,-1.966357534335981
32544,-1.70575638158744
32640,-0.9687749942457216
32736,-1.8373627186911445
32832,-2.518618301109793
32928,-1.2531767776186657
33024,-1.9443353097948741
33120,-1.7452635376502204
33216,-1.982218839018033
33312,-1.9704245912889635
33408,-1.462744239487198
33504,-1.8338950494966155
33600,-2.328544270218
33696,-1.6366895618987818
33792,-2.287596305228467
33888,-2.8672785590067322
33984,-0.39330896985157565
34080,-2.1717662459600415
34176,-0.6326373767653029
34272,-1.6233698155125316
34368,-2.2166665044035128
34464,-1.8898016023852195
34560,-1.3416507637061197
34656,-2.1304948087377125
34752,-2.422234127683414
34848,-1.030776924207875
34944,-1.3192582219631022
35040,-1.0654183766075185
35136,-2.053924249197831
35232,-1.2999241258385306
35328,-2.0678812844964733
35424,-2.9031474020104757
35520,-0.8593293553528136
35616,-2.389255295505918
35712,-1.6043783108041825
35808,-1.7056049324293965
35904,-1.9328450747510082
36000,-2.648676656969709
36096,-0.9080249376094589
36192,-1.3760682027529776
36288,-2.662817301839329
36384,-2.828691664709559
36480,-2.1540896438405115
36576,-2.107639768895798
36672,-3.0708390775344743
36768,-2.4656056579475134
36864,-2.1108844704849234
36960,-2.2133107926280577
37056,-0.9432359491239017
37152,-2.177393682460596
37248,-2.6201106222223967
37344,-1.791748819312074
37440,-0.864863097186864
37536,-2.272163672539902
37632,-2.6548340287521954
37728,-2.1521636354209006
37824,-2.129767149148126
37920,-2.438186218819733
38016,-2.2894447472819257
38112,-1.627010007160334
38208,-1.8067762416178983
38304,-2.3293075776066647
38400,-1.584544282020131
38496,-2.992656317060126
38592,-1.6569448316179654
38688,-2.1860335055160744
38784,-2.6744080031529185
38880,-1.7447221081158126
38976,-1.7541069022667575
39072,-2.580201835843561
39168,-2.1284482444854924
39264,-1.7354927339171642
39360,-2.0577356748473385
39456,-1.4686163968065893
39552,-1.6178887737431455
39648,-1.2534247876027835
39744,-1.5913829741935415
39840,-1.050691726330391
39936,-2.0538694219971747
40032,-1.4387659660041445
40128,-2.4362973533692447
40224,-1.620854352718576
40320,-1.634567502484209
40416,-2.7052835517226006
40512,-1.9094169989924499
40608,-2.315053634764811
40704,-1.4972833609200107
40800,-1.5719093474167332
40896,-3.027592412708963
40992,-2.534164025226021
41088,-1.236031846852047
41184,-0.9502755063136057
41280,-1.5677854510355602
41376,-2.0674542420866695
41472,-2.4411741381404086
41568,-2.277725792194213
41664,-2.3783385548682823
41760,-2.2744118256023933
41856,-2.4273581195976925
41952,-1.0458653174916313
42048,-1.8494483775403106
42144,-1.4703032856409575
42240,-1.9841052446938812
42336,-1.455712532288163
42432,-1.9561294254312136
42528,-1.988999850892582
42624,-1.30645612524656
42720,-2.597996548169851
42816,-1.5307404566943035
42912,-1.3640483696980916
43008,-2.219336189464647
43104,-1.7796062412381448
43200,-1.4363304002804038
43296,-1.3386660554412424
43392,-1.3104308577736705
43488,-1.5314169125897839
43584,-2.7445082148039903
43680,-1.498685201661389
43776,-2.442073096862758
43872,-2.6959632714984325
43968,-1.6979355694722544
44064,-0.21166878475976458
44160,-1.9550471414507096
44256,-1.699012948752563
44352,-1.9479441986481367
44448,-1.8365292070726742
44544,-1.2670672346089504
44640,-2.1115246796136433
44736,-1.3659510234720202
44832,-1.632862667107489
44928,-1.8649265531702395
45024,-1.8140940569493575
45120,-1.4973359449758248
45216,-1.7527015303661244
45312,-1.4890357562484486
45408,-3.5005382253391195
45504,-0.9865738032947058
45600,-1.4229110096875173
45696,-1.5708756229964167
45792,-0.0001474219837400148
45888,-2.252835810012764
45984,-1.4000883785651257
46080,-2.3206152917671927
46176,-1.7424780738993448
46272,-0.7510275069474212
46368,-2.8222751103495316
46464,-1.789513387529096
46560,-2.325285609625572
46656,-1.3751945540749506
46752,-1.3967750735747997
46848,-2.236403574484709
46944,-1.9055935253271672
47040,-0.9336310314530165
47136,-0.7019113697808026
47232,-2.268618440783323
47328,-2.8276324295353756
47424,-1.983757204999912
