episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_policy_0/added_count,info/replay_shard_0/policy_policy_0/sampled_count,info/replay_shard_0/policy_policy_0/est_size_bytes,info/replay_shard_0/policy_policy_0/num_entries,info/learner/policy_0/cur_lr,info/learner/policy_0/mean_q,info/learner/policy_0/min_q,info/learner/policy_0/max_q,info/learner/policy_0/mean_td_error
647.2699999999957,188.95000000000113,454.77969999999607,501.0,24,31680,False,320800,232,11,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-48-30,1589514510,32.398173570632935,364.0994670391083,58016,prophet,129.2.189.146,364.0994670391083,320800,11,8,1212ab4a,0,0.0,0.4,8,4306432,320800,0.0,0.0,665,2810,83.79333333333334,82.5,0.006,0.0,0.06033333333333334,0.05261274158911954,37568,0.18,0.4331281565541544,"[0.0, 0.0, 0.0, 1.0, 2.0]",85.745,74.718,61.496,668160,1030656,38622164,25000,0.0005000000237487257,1.7154564,-0.09011887,5.7049093,-0.46296147
647.2699999999957,254.92999999999844,474.80729999999596,501.0,24,31200,False,352000,256,12,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-49-02,1589514542,32.108022928237915,396.2074899673462,58016,prophet,129.2.189.146,396.2074899673462,352000,12,8,1212ab4a,0,0.0,0.4,9,4686848,352000,0.0,0.0,731,2810,84.62758620689657,82.5206896551724,0.006206896551724138,0.0,0.055517241379310356,0.05261274158911954,38313,0.18,0.4331281565541543,"[0.0, 0.0, 0.0, 1.0, 2.0]",89.689,88.618,65.854,729600,1123840,38622164,25000,0.0005000000237487257,2.114965,-0.15608852,8.731565,-0.56342655
663.4099999999951,302.6499999999961,492.7064999999958,501.0,24,31680,False,383680,280,13,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-49-34,1589514574,32.54129409790039,428.7487840652466,58016,prophet,129.2.189.146,428.7487840652466,383680,13,8,1212ab4a,0,0.0,0.4,10,5070848,383680,0.0,0.0,797,2810,82.90000000000002,82.59677419354836,0.007741935483870968,0.0,0.05774193548387098,0.05261274158911954,39062,0.24,0.5499090833947008,"[0.0, 0.0, 0.0, 1.0, 2.0]",83.814,78.876,61.565,793600,1217024,38622164,25000,0.0005000000237487257,2.2983975,-0.026111051,8.979134,-0.4229886
684.9999999999943,296.4399999999928,500.10949999999576,501.0,24,31520,False,415200,304,14,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-50-06,1589514606,31.79641628265381,460.5452003479004,58016,prophet,129.2.189.146,460.5452003479004,415200,14,8,1212ab4a,0,0.0,0.4,10,5454336,415200,0.0,0.0,862,2810,83.66551724137932,82.65862068965517,0.006206896551724138,0.0,0.056896551724137934,0.05261274158911954,39810,0.2,0.4,"[0.0, 0.0, 0.0, 1.0, 1.0]",89.502,79.639,67.981,855040,1309184,38622164,25000,0.0005000000237487257,2.4574616,0.1861005,9.942812,-0.7343938
720.6099999999939,296.4399999999928,502.74079999999526,501.0,24,31200,False,446400,328,15,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-50-39,1589514639,32.154417753219604,492.69961810112,58016,prophet,129.2.189.146,492.69961810112,446400,15,8,1212ab4a,0,0.0,0.4,11,5836800,446400,0.0,0.0,927,2810,84.12333333333335,82.78333333333336,0.004333333333333333,0.0,0.05800000000000001,0.05261274158911954,40557,0.08,0.2712931993250107,"[0.0, 0.0, 0.0, 0.0, 1.0]",83.353,78.784,62.645,916480,1401856,38622164,25000,0.0005000000237487257,2.1140366,0.034880057,7.7302065,-0.39194518
720.6099999999939,296.4399999999928,495.02619999999496,501.0,16,31040,False,477440,344,16,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-51-10,1589514670,31.913016080856323,524.6126341819763,58016,prophet,129.2.189.146,524.6126341819763,477440,16,8,1212ab4a,0,0.0,0.4,12,6217728,477440,0.0,0.0,991,2810,84.15862068965518,82.8034482758621,0.004137931034482759,0.0,0.06241379310344829,0.05261274158911954,41301,0.14,0.34698703145794946,"[0.0, 0.0, 0.0, 1.0, 1.0]",86.265,81.62,63.169,974080,1494528,38622164,25000,0.0005000000237487257,2.2682984,-0.060309008,6.6190004,-0.25374228
720.6099999999939,296.4399999999928,483.7069999999946,501.0,24,31520,False,508960,368,17,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-51-43,1589514703,32.003315687179565,556.6159498691559,58016,prophet,129.2.189.146,556.6159498691559,508960,17,8,1212ab4a,0,0.0,0.4,13,6601216,508960,0.0,0.0,1057,2810,83.49000000000001,82.88000000000002,0.004,0.0,0.056000000000000015,0.05261274158911954,42050,0.16,0.417612260356422,"[0.0, 0.0, 0.0, 1.0, 2.0]",84.642,73.909,61.447,1040640,1586688,38622164,25000,0.0005000000237487257,3.0333662,-0.5366561,8.714713,-0.64145666
720.6099999999939,291.6199999999977,486.5878999999947,501.0,24,31520,False,540480,392,18,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-52-14,1589514734,31.95194983482361,588.5678997039795,58016,prophet,129.2.189.146,588.5678997039795,540480,18,8,1212ab4a,0,0.0,0.4,13,6984704,540480,0.0,65512.009,1124,2810,84.5758620689655,82.91034482758623,0.01310344827586207,0.0,0.05862068965517242,0.05261274158911954,42800,0.1,0.3,"[0.0, 0.0, 0.0, 0.10000000000000142, 1.0]",90.507,80.128,62.311,1114880,1678848,38622164,25000,0.0005000000237487257,3.3067925,-0.11646652,12.990419,-0.43553844
720.6099999999939,291.6199999999977,488.46829999999517,501.0,24,31520,False,572000,416,19,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-52-47,1589514767,32.044785022735596,620.6126847267151,58016,prophet,129.2.189.146,620.6126847267151,572000,19,8,1212ab4a,0,0.0,0.4,14,7368192,572000,0.0,0.0,1191,2810,83.75,82.98333333333333,0.006,0.0,0.061666666666666675,0.05261274158911954,43548,0.18,0.38418745424597095,"[0.0, 0.0, 0.0, 1.0, 1.0]",82.312,77.705,61.007,1194240,1769472,38622164,25000,0.0005000000237487257,3.2607956,0.24032253,10.840884,-0.47556785
668.8799999999943,291.6199999999977,492.0245999999957,501.0,24,31200,False,603200,440,20,7de83b1e13b54c65a7d6da911e677a13,2020-05-14_23-53-18,1589514798,31.85536789894104,652.4680526256561,58016,prophet,129.2.189.146,652.4680526256561,603200,20,8,1212ab4a,0,0.0,0.4,15,7750144,603200,0.0,0.0,1254,2810,84.42758620689655,83.00344827586207,0.01689655172413793,0.0,0.05931034482758622,0.05261274158911954,44294,0.12,0.3249615361854384,"[0.0, 0.0, 0.0, 1.0, 1.0]",91.407,77.368,66.207,1258240,1861120,38622164,25000,0.0005000000237487257,3.6168704,0.5131411,14.967823,-0.28559992
