episode,return_mean
27432,-44.4555
27500,-45.1052
27576,-46.1334
27660,-45.8393
27748,-44.5111
27816,-44.2609
27888,-44.8246
27956,-44.8376
28036,-44.982
28116,-45.2703
28172,-43.6951
28244,-42.3019
28292,-38.5709
28336,-35.9699
28380,-32.6663
28456,-33.3803
28524,-34.3001
28608,-37.0932
28660,-39.162
28724,-42.2116
28788,-42.6559
28844,-43.3055
28904,-42.8976
28968,-44.9236
29020,-44.95
29072,-43.6169
29136,-42.271
29196,-42.7229
29232,-38.8615
29276,-38.1019
29324,-38.9097
29368,-37.6024
29424,-38.7784
29472,-42.8713
29536,-43.8706
29588,-45.2784
29636,-46.82
29680,-44.0917
29720,-41.4291
29768,-41.1104
29816,-39.0602
29868,-38.4777
29912,-40.1704
29964,-40.372
30004,-39.1523
30056,-39.677
30100,-39.1376
30152,-40.2454
30196,-43.19
30252,-45.2398
30292,-47.2976
30348,-48.8101
30400,-48.4221
30452,-47.6054
30504,-47.4877
30556,-46.5965
30608,-46.7616
30660,-45.7433
30708,-43.3762
30756,-44.402
30808,-43.8119
30864,-42.8176
30916,-43.556
30968,-44.1586
31020,-43.1855
31072,-43.8584
31140,-44.4056
31200,-45.381
31252,-45.7697
31304,-46.3646
31364,-46.3837
31416,-46.4428
31472,-46.6529
31528,-47.1922
31580,-47.0444
31644,-46.5394
31700,-46.4532
31760,-45.7554
31816,-45.7097
31868,-46.1019
31916,-47.7014
31976,-47.4895
32040,-47.2306
32096,-48.1038
32152,-46.7203
32216,-44.8099
32276,-45.25
32348,-44.8506
32404,-44.0071
32456,-44.3829
32500,-43.975
32552,-44.281
32608,-45.1191
32660,-45.6636
32712,-47.3599
32764,-48.3842
32820,-47.3824
32860,-45.3494
32900,-44.2301
32948,-43.6813
33000,-44.3744
33036,-43.5465
33088,-45.5836
33128,-44.4497
33168,-42.454
33208,-39.7058
33256,-40.074
33292,-37.2692
33332,-37.774
33376,-38.6014
33424,-40.3752
33464,-40.8378
33504,-43.3315
33544,-43.8742
33588,-44.2648
33644,-44.4957
33692,-46.1169
33732,-43.211
33784,-43.5214
33840,-44.5582
33892,-43.8654
33944,-44.0604
34000,-46.9201
34052,-46.6132
34100,-45.4393
34148,-46.6341
34200,-45.3666
34256,-45.3117
34308,-46.5576
34352,-47.0064
34400,-46.273
34456,-46.2894
34512,-45.2324
34564,-43.5299
34624,-43.5795
34664,-40.8943
34708,-40.3918
34752,-41.6028
34800,-42.8032
34848,-42.1844
34900,-46.0356
34964,-46.5136
35024,-44.7498
35084,-45.1855
35140,-46.0854
35196,-44.7859
35236,-42.5863
35284,-43.578
35340,-42.5763
35380,-41.5
35428,-40.968
35476,-42.2198
35524,-41.1516
35572,-40.9157
35632,-40.8681
35688,-40.8692
35740,-39.9469
35800,-40.1262
35852,-38.9535
35900,-37.7884
35948,-37.77
35992,-39.1043
36036,-39.7459
36076,-39.557
36124,-40.1995
36160,-38.1376
36216,-38.5044
36268,-38.8307
36320,-40.681
36372,-41.7747
36424,-44.8499
36484,-44.6941
36540,-43.8081
36596,-45.3878
36644,-43.7942
36700,-42.5471
36744,-42.5139
36788,-43.3918
36836,-42.2336
36880,-44.5506
36920,-46.1084
36960,-44.2208
37008,-44.3635
37048,-43.8468
37100,-41.7605
37176,-41.8884
37244,-44.2718
37304,-44.6398
37372,-44.849
37420,-45.9876
37492,-45.0711
37560,-44.0015
37624,-42.9659
37696,-42.491
37776,-42.309
37836,-43.1966
37908,-45.2209
37960,-46.7331
38024,-47.4333
38088,-47.2728
38156,-46.7431
38212,-45.3094
38268,-42.6821
38340,-41.9697
38400,-44.2236
38444,-42.7378
38488,-40.6535
38536,-41.5398
38568,-39.6215
38612,-36.6477
38656,-36.5916
38704,-39.068
38756,-40.2012
38812,-43.773
38872,-44.1239
38944,-45.7022
38996,-45.6042
39048,-44.5385
39108,-43.8672
39160,-44.2054
39212,-43.7819
39272,-42.9613
39336,-43.0743
39388,-41.648
39444,-40.994
39496,-41.2701
39548,-42.0353
39596,-43.9656
39656,-45.3297
39704,-46.4414
39752,-45.6601
39796,-44.5499
39864,-42.5811
39932,-41.3395
39980,-40.2961
40040,-39.9404
40100,-40.4312
40164,-41.2404
40232,-41.164
40300,-41.8306
40368,-42.1345
40428,-42.6229
40492,-41.9766
40572,-42.1472
40624,-41.6676
40684,-41.0232
40752,-40.4647
40820,-40.6096
40872,-41.4881
40940,-42.667
40996,-43.9597
41064,-44.6991
41128,-45.5552
41184,-45.3163
41240,-44.724
41308,-44.1626
41356,-42.8978
41412,-41.8408
41472,-41.2251
41532,-40.7312
41604,-40.742
41668,-42.5292
41724,-43.8701
41792,-44.5638
41860,-44.6693
41920,-44.4304
41964,-41.7299
42028,-41.0334
42096,-41.5284
42168,-42.3427
42236,-42.8936
42288,-43.7094
42348,-43.2012
42408,-41.9836
42456,-41.318
42512,-40.947
42560,-41.2564
42616,-41.7233
42672,-41.8993
42716,-41.9878
42776,-41.6154
42832,-42.1255
42896,-42.2892
42940,-42.31
42984,-42.9192
43020,-42.6887
43068,-42.5252
43120,-41.9653
43164,-42.2561
43204,-41.223
43248,-40.9546
43296,-41.7177
43340,-41.3033
43384,-39.4517
43440,-40.9885
43500,-42.3663
43540,-41.8875
43584,-42.8576
43640,-45.4361
43688,-44.055
43740,-43.3281
43780,-44.0797
43836,-43.6315
43880,-42.7344
43924,-42.2838
43976,-42.9547
44020,-42.1573
44064,-43.4899
44108,-43.2468
44144,-45.4955
44180,-45.6831
44224,-44.5431
44268,-43.4007
44320,-43.1943
44368,-43.3424
44424,-42.9823
44476,-44.2003
44516,-44.2315
44560,-45.3983
44604,-43.0274
44648,-43.2414
44688,-42.4976
44728,-41.4333
44768,-40.3957
44800,-41.542
44836,-39.4984
44872,-38.7469
44912,-37.8841
44948,-36.0748
44988,-35.4062
45032,-38.6696
45092,-40.1872
45136,-40.2993
45188,-43.3859
45236,-44.2388
45284,-41.8922
45328,-40.5087
45376,-42.8131
45428,-42.1401
45472,-40.6357
45520,-42.6391
45564,-44.3147
45596,-43.2127
45640,-43.506
45676,-46.9955
45716,-46.8325
45760,-46.3679
45804,-48.5712
45852,-48.303
45892,-45.1777
45940,-43.1348
45988,-43.1146
46032,-42.3675
46084,-42.4374
46136,-43.6016
46196,-44.9992
46252,-45.9325
46300,-44.4065
46360,-44.8738
46412,-44.9573
46468,-45.3347
46512,-42.8647
46556,-42.5839
46604,-40.5615
46664,-40.568
46716,-38.8547
46760,-39.4231
46816,-39.4716
46868,-40.113
46924,-39.5116
46972,-39.6901
47024,-41.0084
47064,-40.4635
47108,-39.5655
47160,-40.2853
47208,-41.0676
47260,-42.2863
47308,-43.2585
47352,-45.9149
47404,-46.328
47456,-47.6435
47504,-46.4831
47548,-45.6262
47596,-43.4717
47640,-41.2339
47684,-38.4423
47724,-36.9368
47768,-36.8642
47812,-37.8808
47856,-38.9242
47896,-38.0371
47944,-39.1096
47988,-39.8386
48028,-38.0871
48068,-36.2639
48112,-37.6975
48160,-36.6473
48204,-35.4485
48240,-34.6746
48280,-34.7938
48324,-34.8361
48364,-33.7541
48400,-32.5518
48448,-35.1672
48496,-35.3389
48532,-36.6831
48568,-37.2148
48616,-40.6866
48660,-39.4182
48708,-40.9115
48760,-40.0718
48800,-41.8291
48844,-39.5958
48904,-39.8529
48964,-38.511
49008,-36.418
49048,-35.2513
49084,-36.2823
49128,-36.5643
49164,-35.9275
49200,-36.3545
49240,-35.607
49280,-35.7779
49316,-36.0271
49352,-35.9004
49384,-35.5349
49416,-35.5542
49448,-33.111
49484,-32.8155
49532,-35.0591
49564,-35.3782
49600,-36.726
49632,-38.5084
49660,-37.0233
49692,-35.2815
49728,-34.8823
49760,-34.4048
49800,-35.1102
49828,-36.5672
49868,-37.3449
49896,-38.8562
49924,-37.4868
49952,-35.5647
49984,-32.3689
50016,-33.1141
50048,-33.3381
50080,-33.8008
50112,-34.9302
50144,-35.0869
50172,-32.9498
50200,-32.081
50236,-33.6892
50264,-34.256
50296,-37.6673
50328,-38.0289
50356,-36.755
50384,-35.6728
50412,-33.9401
50448,-34.1881
50476,-35.5213
50512,-38.4449
50544,-37.6619
50576,-39.0581
50612,-41.553
50648,-41.4242
50684,-40.6072
50720,-41.5195
50752,-39.4296
50788,-36.4206
50824,-37.505
50860,-36.2388
50896,-36.671
50924,-39.1563
50960,-40.0212
50996,-41.4626
51036,-43.7394
51068,-43.5066
51104,-43.5991
51140,-43.2894
51176,-40.7155
51212,-39.3786
51252,-38.9381
51288,-37.8359
51332,-37.9708
51372,-37.2828
51416,-38.7328
51444,-40.3631
51480,-40.02
51516,-38.1119
51548,-40.2168
51588,-40.2029
51628,-39.0207
51660,-39.5288
51696,-39.9485
51732,-38.2445
51768,-35.9053
51812,-36.2186
51852,-36.8707
51884,-37.1407
51920,-35.8996
51956,-36.5695
51992,-35.8956
52028,-36.9578
52068,-36.5111
52104,-37.3919
52144,-37.9739
52180,-37.729
52216,-35.6733
52248,-35.5762
52292,-34.9459
52324,-33.068
52356,-32.7516
52384,-31.069
52420,-31.5198
52456,-30.8585
52492,-30.378
52528,-29.5803
52560,-30.9888
52596,-29.8971
52628,-28.6108
52664,-28.8653
52704,-28.8887
52732,-26.2562
52776,-26.5205
52812,-27.0953
52844,-25.6951
52880,-26.1495
52912,-26.9885
52948,-26.6851
52988,-28.3519
53024,-30.4585
53056,-30.2182
53088,-29.8316
53124,-28.5416
53156,-26.115
53188,-26.2064
53224,-26.3664
53264,-28.1402
53296,-26.8786
53332,-28.1389
53364,-25.5557
53400,-24.8089
